# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.283783,4,2
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.349842,4,4
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.159571,4,10
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.072200,4,12
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.423426,4,14
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-0.157945,4,20
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-0.094237,4,21
0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,-0.508184,4,23
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-2.478621,4,25
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,-0.572291,4,27
0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.980408,4,29
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-1.551553,4,31
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-2.549644,4,33
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.157283,4,37
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.227576,4,38
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.569440,4,40
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.737996,4,44
1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.021673,4,54
0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,-0.026580,4,55
0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,-0.236288,4,57
0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,-0.272417,4,61
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-0.063714,3,71
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-0.041487,3,73
