# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1,-0.084347,6,262
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.012568,4,266
0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,-0.135102,4,268
0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,-0.693529,6,271
0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0.155373,6,379
0,0,0,1,0,0,0,0,3,1,0,0,0,0,2,0,-1.636383,6,383
0,0,0,0,1,0,0,0,3,1,0,0,0,0,2,0,-0.060231,6,385
0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,-0.360143,6,387
0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,-0.860004,6,388
0,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,-1.707952,6,390
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,-0.995045,4,424
0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,0.019630,6,465
0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,1,-0.913078,6,467
0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,-0.889634,6,475
1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0.112428,6,496
0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0.052159,6,498
0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,1,-0.281537,6,504
0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1,-0.684484,6,506
0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,-1.431488,5,570
0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,-3.294707,6,594
0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,2,-1.383729,6,645
1,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0.538310,6,700
0,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0.612333,6,702
0,0,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0.359435,6,704
0,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,-0.908461,6,706
0,0,0,0,1,0,0,0,0,1,3,1,0,1,0,0,0.306813,6,708
0,0,0,0,0,1,0,0,0,1,3,1,0,1,0,0,0.161426,6,709
0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,-0.395222,6,711
0,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,-1.105595,6,713
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,-1.768282,4,730
0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,0,-1.677795,6,1096
0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,-1.626267,6,1104
0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,-1.019715,6,1199
0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,1,-0.009948,6,1203
0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,1,-0.486170,6,1204
0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,-0.348517,6,1247
0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,-2.016492,6,1249
0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,-0.293879,6,1251
0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,-0.164122,6,1253
0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,-1.167273,6,1255
0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,-1.948444,6,1257
1,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0.331653,6,1261
0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0.401461,6,1263
0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0.028295,6,1264
0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,0,-1.513503,6,1266
0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,0.052298,6,1268
0,0,0,0,0,1,0,0,1,0,3,1,1,0,0,0,-0.195948,6,1270
0,0,0,0,0,0,1,0,1,0,3,1,1,0,0,0,-0.796214,6,1272
0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,-1.654448,6,1274
0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,1,-1.194977,6,1385
0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,-0.135374,6,1389
0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,1,-0.592932,6,1391
0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,-1.183523,6,1393
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.160103,3,1484
0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,-0.243667,4,1486
0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,-0.252683,4,1489
0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.449244,3,1491
0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,-0.944638,4,1493
0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,-1.629316,5,1495
1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0.380795,6,1550
