# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,1,1.534505,7,5
0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,1,-0.037049,7,7
0,0,0,0,1,0,0,0,0,3,1,1,0,1,0,1,0.753066,7,9
0,0,0,0,0,1,0,0,0,3,1,1,0,1,0,1,0.711311,7,11
0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,1,0.397412,7,13
0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,1,0.064876,7,15
0,1,0,0,0,0,0,0,2,1,0,4,2,0,0,0,0.812083,9,17
1,0,0,0,0,0,0,0,2,1,0,4,2,0,0,0,0.609660,9,19
0,0,0,1,0,0,0,0,2,1,0,4,1,0,0,0,0.049742,8,24
0,0,0,0,1,0,0,0,2,1,0,4,2,0,0,0,0.700618,9,26
0,0,0,0,0,0,1,0,2,1,0,4,1,0,0,0,0.295597,8,30
0,0,0,0,0,0,0,1,2,1,0,4,1,0,0,0,-0.056843,8,32
0,0,0,0,0,0,0,1,1,3,0,2,1,0,0,0,-0.368747,7,66
0,0,0,0,0,0,0,1,5,0,1,0,0,1,1,1,-1.037161,9,202
0,1,0,0,0,0,0,0,5,0,0,1,1,0,1,1,0.873763,9,225
0,0,0,0,0,0,0,1,5,0,0,1,0,0,2,1,-0.066494,9,236
0,0,0,0,0,0,0,1,1,3,0,0,0,1,1,1,-0.990633,7,270
0,0,0,1,0,0,0,0,1,3,0,2,1,0,0,0,-0.889996,7,289
0,0,0,0,0,0,1,0,1,3,0,2,1,0,0,0,-0.169315,7,302
0,0,0,0,0,0,0,1,1,3,0,2,1,0,0,0,-0.845859,7,304
1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0.987844,7,393
0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,1,-0.307913,7,399
0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,1,0.144805,7,404
0,0,0,0,1,0,0,0,0,3,0,2,1,1,0,0,-0.055834,7,459
1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0.215818,5,461
0,1,0,0,0,0,0,0,0,3,0,3,1,1,0,0,0.079752,8,463
0,0,1,0,0,0,0,0,0,3,0,2,1,1,0,0,0.374669,7,465
0,0,0,1,0,0,0,0,0,3,0,3,1,1,0,0,-1.458435,8,467
0,0,0,0,0,1,0,0,0,3,0,3,1,1,0,0,-0.386594,8,470
0,0,0,0,0,0,1,0,0,3,0,3,1,1,0,0,0.526783,8,472
