# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru
0.1250,0.1250,0.1276,0.1302,0.1484,0.1198,0.1198,0.1042
0.1231,0.1230,0.1283,0.1309,0.1492,0.1204,0.1204,0.1047
0.1210,0.1237,0.1289,0.1316,0.1474,0.1210,0.1211,0.1053
0.1217,0.1217,0.1296,0.1323,0.1455,0.1217,0.1217,0.1058
0.1224,0.1223,0.1303,0.1330,0.1410,0.1223,0.1223,0.1064
0.1230,0.1203,0.1310,0.1337,0.1390,0.1230,0.1230,0.1070
0.1236,0.1210,0.1290,0.1344,0.1371,0.1237,0.1237,0.1075
0.1243,0.1189,0.1297,0.1352,0.1352,0.1243,0.1243,0.1081
0.1246,0.1192,0.1301,0.1355,0.1328,0.1247,0.1247,0.1084
0.1254,0.1172,0.1308,0.1362,0.1335,0.1253,0.1226,0.1090
0.1257,0.1175,0.1311,0.1366,0.1339,0.1257,0.1229,0.1066
0.1264,0.1181,0.1319,0.1373,0.1346,0.1264,0.1209,0.1044
0.1267,0.1157,0.1322,0.1378,0.1350,0.1267,0.1212,0.1047
0.1267,0.1157,0.1322,0.1378,0.1350,0.1267,0.1212,0.1047
0.1274,0.1164,0.1330,0.1357,0.1357,0.1274,0.1219,0.1025
0.1281,0.1170,0.1309,0.1365,0.1337,0.1281,0.1226,0.1031
0.1260,0.1176,0.1317,0.1373,0.1317,0.1289,0.1232,0.1036
0.1257,0.1201,0.1313,0.1369,0.1313,0.1285,0.1229,0.1033
0.1257,0.1201,0.1285,0.1369,0.1313,0.1285,0.1229,0.1061
0.1243,0.1187,0.1300,0.1384,0.1299,0.1299,0.1243,0.1045
0.1250,0.1193,0.1307,0.1392,0.1250,0.1307,0.1250,0.1051
0.1254,0.1197,0.1310,0.1367,0.1254,0.1310,0.1254,0.1054
0.1257,0.1200,0.1286,0.1372,0.1257,0.1314,0.1257,0.1057
0.1257,0.1200,0.1286,0.1372,0.1257,0.1314,0.1257,0.1057
0.1265,0.1178,0.1293,0.1351,0.1264,0.1322,0.1264,0.1063
0.1265,0.1178,0.1293,0.1351,0.1264,0.1322,0.1264,0.1063
0.1272,0.1185,0.1301,0.1358,0.1214,0.1329,0.1272,0.1069
0.1272,0.1185,0.1301,0.1358,0.1214,0.1329,0.1272,0.1069
0.1304,0.1189,0.1304,0.1362,0.1189,0.1333,0.1275,0.1044
0.1275,0.1189,0.1304,0.1391,0.1189,0.1333,0.1275,0.1044
0.1272,0.1154,0.1302,0.1420,0.1213,0.1331,0.1272,0.1036
0.1272,0.1154,0.1302,0.1420,0.1213,0.1331,0.1272,0.1036
0.1280,0.1161,0.1280,0.1428,0.1220,0.1339,0.1280,0.1012
0.1283,0.1164,0.1284,0.1403,0.1224,0.1343,0.1284,0.1015
0.1261,0.1171,0.1291,0.1412,0.1231,0.1352,0.1291,0.0991
0.1269,0.1148,0.1299,0.1420,0.1239,0.1329,0.1299,0.0997
0.1280,0.1190,0.1310,0.1399,0.1220,0.1339,0.1280,0.0982
0.1284,0.1194,0.1313,0.1403,0.1224,0.1343,0.1284,0.0955
0.1288,0.1198,0.1287,0.1407,0.1228,0.1347,0.1287,0.0958
0.1283,0.1194,0.1284,0.1403,0.1224,0.1343,0.1284,0.0985
0.1283,0.1224,0.1284,0.1403,0.1224,0.1343,0.1284,0.0955
0.1258,0.1228,0.1287,0.1407,0.1228,0.1347,0.1287,0.0958
0.1231,0.1261,0.1291,0.1412,0.1231,0.1352,0.1291,0.0931
0.1235,0.1265,0.1295,0.1416,0.1235,0.1355,0.1295,0.0904
0.1243,0.1242,0.1273,0.1424,0.1242,0.1364,0.1303,0.0909
0.1243,0.1242,0.1273,0.1424,0.1242,0.1364,0.1303,0.0909
0.1219,0.1250,0.1250,0.1433,0.1250,0.1372,0.1311,0.0915
0.1227,0.1257,0.1227,0.1442,0.1258,0.1350,0.1319,0.0920
0.1231,0.1231,0.1231,0.1446,0.1292,0.1323,0.1323,0.0923
0.1231,0.1231,0.1231,0.1446,0.1292,0.1323,0.1323,0.0923
0.1242,0.1211,0.1242,0.1429,0.1304,0.1336,0.1335,0.0901
0.1215,0.1215,0.1246,0.1433,0.1308,0.1340,0.1340,0.0903
0.1222,0.1191,0.1254,0.1442,0.1317,0.1317,0.1348,0.0909
0.1226,0.1195,0.1258,0.1447,0.1289,0.1321,0.1352,0.0912
0.1226,0.1164,0.1289,0.1447,0.1289,0.1321,0.1352,0.0912
0.1226,0.1164,0.1289,0.1447,0.1289,0.1321,0.1352,0.0912
0.1226,0.1164,0.1289,0.1447,0.1289,0.1321,0.1352,0.0912
0.1222,0.1158,0.1286,0.1479,0.1254,0.1351,0.1350,0.0900
0.1234,0.1136,0.1299,0.1493,0.1234,0.1331,0.1364,0.0909
0.1234,0.1169,0.1266,0.1493,0.1234,0.1331,0.1364,0.0909
0.1209,0.1176,0.1242,0.1503,0.1242,0.1340,0.1373,0.0915
0.1217,0.1184,0.1250,0.1480,0.1217,0.1349,0.1382,0.0921
0.1221,0.1221,0.1254,0.1486,0.1188,0.1353,0.1386,0.0891
0.1225,0.1225,0.1258,0.1490,0.1192,0.1358,0.1391,0.0861
0.1233,0.1233,0.1267,0.1500,0.1167,0.1333,0.1400,0.0867
0.1242,0.1242,0.1242,0.1510,0.1174,0.1342,0.1409,0.0839
0.1216,0.1216,0.1250,0.1520,0.1183,0.1351,0.1419,0.0845
0.1216,0.1216,0.1250,0.1520,0.1183,0.1351,0.1419,0.0845
0.1216,0.1216,0.1284,0.1520,0.1183,0.1351,0.1419,0.0811
0.1225,0.1224,0.1224,0.1531,0.1190,0.1361,0.1429,0.0816
0.1229,0.1229,0.1229,0.1536,0.1194,0.1365,0.1399,0.0819
0.1211,0.1246,0.1246,0.1557,0.1211,0.1349,0.1419,0.0761
0.1219,0.1254,0.1254,0.1533,0.1185,0.1359,0.1429,0.0767
0.1158,0.1263,0.1263,0.1544,0.1193,0.1368,0.1439,0.0772
0.1162,0.1232,0.1268,0.1549,0.1197,0.1373,0.1444,0.0775
0.1170,0.1241,0.1277,0.1525,0.1170,0.1383,0.1454,0.0780
0.1139,0.1246,0.1281,0.1530,0.1210,0.1388,0.1459,0.0747
0.1107,0.1250,0.1250,0.1536,0.1250,0.1393,0.1464,0.0750
0.1115,0.1259,0.1259,0.1475,0.1259,0.1403,0.1475,0.0755
0.1115,0.1295,0.1259,0.1475,0.1223,0.1403,0.1475,0.0755
0.1144,0.1255,0.1291,0.1513,0.1255,0.1365,0.1476,0.0701
0.1132,0.1277,0.1241,0.1496,0.1241,0.1423,0.1460,0.0730
0.1172,0.1282,0.1246,0.1502,0.1245,0.1392,0.1465,0.0696
0.1172,0.1319,0.1209,0.1539,0.1245,0.1392,0.1465,0.0659
0.1176,0.1324,0.1213,0.1544,0.1250,0.1360,0.1471,0.0662
0.1185,0.1333,0.1222,0.1519,0.1222,0.1370,0.1482,0.0667
0.1185,0.1333,0.1222,0.1519,0.1222,0.1370,0.1482,0.0667
0.1181,0.1365,0.1218,0.1513,0.1218,0.1365,0.1476,0.0664
0.1172,0.1355,0.1246,0.1539,0.1209,0.1355,0.1465,0.0659
0.1176,0.1360,0.1250,0.1544,0.1213,0.1324,0.1471,0.0662
0.1181,0.1365,0.1255,0.1550,0.1218,0.1291,0.1476,0.0664
0.1185,0.1370,0.1259,0.1556,0.1185,0.1296,0.1482,0.0667
0.1222,0.1370,0.1222,0.1556,0.1185,0.1296,0.1482,0.0667
0.1222,0.1370,0.1222,0.1556,0.1185,0.1296,0.1482,0.0667
0.1222,0.1333,0.1222,0.1556,0.1222,0.1296,0.1482,0.0667
0.1222,0.1333,0.1222,0.1556,0.1222,0.1296,0.1482,0.0667
0.1232,0.1306,0.1231,0.1567,0.1231,0.1306,0.1493,0.0634
0.1231,0.1306,0.1231,0.1605,0.1231,0.1306,0.1493,0.0597
0.1231,0.1306,0.1231,0.1605,0.1231,0.1306,0.1493,0.0597
0.1232,0.1306,0.1231,0.1605,0.1231,0.1343,0.1455,0.0597
0.1232,0.1306,0.1231,0.1605,0.1231,0.1343,0.1455,0.0597
0.1265,0.1264,0.1226,0.1571,0.1264,0.1379,0.1456,0.0575
0.1259,0.1260,0.1260,0.1565,0.1260,0.1374,0.1450,0.0572
0.1260,0.1260,0.1260,0.1603,0.1221,0.1412,0.1450,0.0534
0.1264,0.1226,0.1264,0.1571,0.1226,0.1418,0.1456,0.0575
0.1269,0.1231,0.1269,0.1577,0.1231,0.1423,0.1462,0.0538
0.1279,0.1240,0.1279,0.1589,0.1240,0.1396,0.1473,0.0504
0.1279,0.1240,0.1279,0.1589,0.1240,0.1396,0.1473,0.0504
0.1284,0.1245,0.1245,0.1556,0.1245,0.1401,0.1518,0.0506
0.1255,0.1255,0.1255,0.1569,0.1255,0.1372,0.1529,0.0510
0.1220,0.1260,0.1260,0.1614,0.1260,0.1378,0.1496,0.0512
0.1225,0.1265,0.1265,0.1621,0.1265,0.1383,0.1462,0.0514
0.1270,0.1270,0.1230,0.1587,0.1270,0.1389,0.1468,0.0516
0.1240,0.1280,0.1240,0.1560,0.1280,0.1400,0.1480,0.0520
0.1235,0.1315,0.1235,0.1554,0.1275,0.1394,0.1474,0.0518
0.1200,0.1320,0.1240,0.1560,0.1280,0.1400,0.1480,0.0520
0.1205,0.1325,0.1245,0.1526,0.1285,0.1406,0.1486,0.0522
0.1174,0.1336,0.1255,0.1498,0.1296,0.1417,0.1498,0.0526
0.1174,0.1336,0.1296,0.1498,0.1296,0.1417,0.1457,0.0526
0.1174,0.1336,0.1296,0.1498,0.1255,0.1417,0.1457,0.0567
0.1184,0.1347,0.1265,0.1510,0.1265,0.1429,0.1469,0.0531
0.1148,0.1352,0.1271,0.1516,0.1271,0.1434,0.1475,0.0533
0.1148,0.1352,0.1271,0.1516,0.1271,0.1434,0.1475,0.0533
0.1157,0.1364,0.1281,0.1487,0.1281,0.1405,0.1488,0.0537
0.1152,0.1399,0.1276,0.1523,0.1276,0.1399,0.1481,0.0494
0.1148,0.1393,0.1271,0.1516,0.1271,0.1434,0.1475,0.0492
0.1148,0.1393,0.1271,0.1516,0.1271,0.1434,0.1475,0.0492
0.1162,0.1369,0.1286,0.1494,0.1286,0.1411,0.1494,0.0498
0.1130,0.1381,0.1297,0.1506,0.1297,0.1423,0.1506,0.0460
0.1139,0.1392,0.1308,0.1519,0.1266,0.1435,0.1477,0.0464
0.1149,0.1404,0.1319,0.1490,0.1277,0.1404,0.1489,0.0468
0.1149,0.1404,0.1319,0.1490,0.1319,0.1404,0.1447,0.0468
0.1154,0.1410,0.1325,0.1453,0.1325,0.1410,0.1453,0.0470
0.1154,0.1410,0.1368,0.1453,0.1325,0.1410,0.1453,0.0427
0.1154,0.1410,0.1367,0.1496,0.1325,0.1368,0.1453,0.0427
0.1149,0.1404,0.1362,0.1489,0.1362,0.1362,0.1447,0.0425
0.1149,0.1361,0.1362,0.1489,0.1362,0.1362,0.1447,0.0468
0.1164,0.1336,0.1379,0.1509,0.1379,0.1379,0.1466,0.0388
0.1169,0.1342,0.1342,0.1515,0.1385,0.1385,0.1472,0.0390
0.1169,0.1342,0.1342,0.1515,0.1385,0.1385,0.1472,0.0390
0.1169,0.1385,0.1342,0.1472,0.1385,0.1385,0.1515,0.0347
0.1179,0.1354,0.1354,0.1441,0.1397,0.1397,0.1529,0.0349
0.1179,0.1354,0.1354,0.1485,0.1397,0.1397,0.1485,0.0349
0.1179,0.1354,0.1354,0.1485,0.1397,0.1397,0.1485,0.0349
0.1179,0.1354,0.1354,0.1441,0.1397,0.1397,0.1485,0.0393
