# Au_i,Ir_i,Pd_i,Pt_i,Rh_i,Ru_i,Au_f,Ir_f,Pd_f,Pt_f,Rh_f,Ru_f,Au_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d,fd
0.051,0.257,0.166,0.172,0.240,0.115,0.044,0.273,0.163,0.167,0.233,0.119,0.000,0.280,0.000,0.000,0.510,0.210,0.767
0.074,0.196,0.193,0.220,0.216,0.101,0.073,0.204,0.251,0.220,0.230,0.021,0.000,0.180,0.000,0.000,0.460,0.360,0.645
0.061,0.206,0.264,0.186,0.162,0.122,0.036,0.223,0.271,0.253,0.199,0.018,0.000,0.250,0.030,0.000,0.310,0.410,0.561
0.071,0.186,0.199,0.209,0.196,0.139,0.074,0.216,0.205,0.226,0.232,0.047,0.000,0.210,0.070,0.000,0.260,0.460,0.642
0.074,0.213,0.169,0.199,0.226,0.118,0.074,0.233,0.206,0.212,0.212,0.063,0.000,0.160,0.030,0.000,0.440,0.370,0.639
0.071,0.206,0.199,0.199,0.179,0.145,0.075,0.224,0.196,0.229,0.196,0.079,0.000,0.240,0.050,0.000,0.270,0.440,0.723
0.061,0.216,0.203,0.199,0.209,0.111,0.060,0.225,0.242,0.247,0.198,0.027,0.000,0.220,0.010,0.000,0.410,0.360,0.615
0.064,0.186,0.189,0.220,0.220,0.122,0.078,0.200,0.222,0.211,0.233,0.056,0.000,0.180,0.010,0.000,0.390,0.420,0.608
0.068,0.159,0.267,0.199,0.182,0.125,0.079,0.202,0.275,0.242,0.174,0.028,0.000,0.230,0.040,0.000,0.340,0.390,0.601
0.020,0.189,0.169,0.213,0.257,0.152,0.022,0.222,0.244,0.256,0.217,0.039,0.000,0.190,0.030,0.000,0.420,0.360,0.608
0.041,0.199,0.196,0.233,0.145,0.186,0.030,0.234,0.240,0.275,0.162,0.060,0.000,0.130,0.010,0.000,0.320,0.540,0.564
0.054,0.203,0.233,0.199,0.182,0.128,0.053,0.219,0.266,0.207,0.189,0.065,0.000,0.160,0.020,0.000,0.400,0.420,0.571
0.041,0.179,0.220,0.186,0.236,0.139,0.039,0.184,0.204,0.243,0.270,0.059,0.000,0.200,0.060,0.000,0.400,0.340,0.514
0.020,0.179,0.230,0.189,0.203,0.179,0.024,0.214,0.238,0.232,0.232,0.060,0.000,0.130,0.030,0.000,0.410,0.430,0.568
0.061,0.209,0.196,0.182,0.209,0.142,0.093,0.199,0.217,0.174,0.230,0.087,0.000,0.180,0.010,0.000,0.410,0.400,0.544
0.078,0.226,0.233,0.139,0.223,0.101,0.085,0.256,0.233,0.148,0.220,0.058,0.000,0.210,0.020,0.000,0.430,0.340,0.753
0.068,0.176,0.216,0.169,0.216,0.155,0.074,0.168,0.253,0.205,0.237,0.063,0.000,0.140,0.020,0.000,0.400,0.440,0.642
0.027,0.196,0.223,0.193,0.186,0.176,0.037,0.230,0.230,0.261,0.193,0.050,0.000,0.170,0.010,0.000,0.390,0.430,0.544
0.041,0.179,0.179,0.206,0.209,0.186,0.061,0.227,0.227,0.250,0.174,0.061,0.000,0.160,0.020,0.000,0.380,0.440,0.446
0.054,0.213,0.196,0.206,0.189,0.142,0.056,0.204,0.218,0.232,0.261,0.028,0.000,0.190,0.010,0.000,0.380,0.420,0.480
0.030,0.169,0.176,0.220,0.250,0.155,0.039,0.224,0.217,0.230,0.224,0.066,0.000,0.130,0.070,0.000,0.430,0.370,0.514
0.068,0.226,0.203,0.240,0.176,0.088,0.058,0.216,0.211,0.279,0.205,0.032,0.000,0.250,0.040,0.000,0.460,0.250,0.642
0.054,0.169,0.189,0.209,0.226,0.152,0.053,0.182,0.188,0.276,0.259,0.041,0.000,0.170,0.030,0.000,0.430,0.370,0.574
0.044,0.226,0.186,0.220,0.169,0.155,0.056,0.289,0.200,0.211,0.156,0.089,0.000,0.220,0.000,0.010,0.430,0.340,0.608
0.057,0.189,0.203,0.203,0.209,0.139,0.068,0.188,0.222,0.217,0.222,0.082,0.000,0.250,0.010,0.000,0.390,0.350,0.699
0.054,0.226,0.182,0.240,0.172,0.125,0.065,0.261,0.201,0.234,0.179,0.060,0.000,0.230,0.000,0.000,0.410,0.360,0.622
0.074,0.253,0.223,0.186,0.193,0.071,0.085,0.249,0.249,0.207,0.183,0.028,0.000,0.290,0.000,0.000,0.430,0.280,0.720
0.071,0.213,0.186,0.216,0.186,0.128,0.078,0.249,0.187,0.233,0.166,0.088,0.000,0.160,0.030,0.000,0.470,0.340,0.652
0.027,0.159,0.199,0.209,0.213,0.193,0.014,0.199,0.213,0.284,0.234,0.057,0.000,0.150,0.000,0.010,0.400,0.440,0.476
0.061,0.196,0.226,0.216,0.162,0.139,0.074,0.210,0.265,0.222,0.185,0.043,0.000,0.220,0.010,0.000,0.360,0.410,0.547
0.078,0.220,0.240,0.172,0.155,0.135,0.081,0.223,0.254,0.208,0.157,0.076,0.000,0.280,0.020,0.000,0.370,0.330,0.666
0.054,0.166,0.226,0.206,0.179,0.169,0.041,0.231,0.252,0.231,0.204,0.041,0.000,0.230,0.030,0.000,0.380,0.360,0.497
0.061,0.196,0.186,0.203,0.216,0.139,0.076,0.223,0.217,0.217,0.197,0.070,0.000,0.160,0.020,0.000,0.480,0.340,0.530
0.037,0.199,0.206,0.199,0.203,0.155,0.067,0.231,0.236,0.215,0.205,0.046,0.000,0.170,0.010,0.000,0.300,0.520,0.659
0.057,0.155,0.209,0.179,0.233,0.166,0.047,0.207,0.227,0.240,0.200,0.080,0.000,0.130,0.030,0.000,0.440,0.400,0.507
0.061,0.203,0.240,0.179,0.213,0.105,0.075,0.241,0.256,0.186,0.201,0.040,0.000,0.170,0.030,0.000,0.480,0.320,0.672
0.041,0.169,0.176,0.203,0.250,0.162,0.044,0.186,0.191,0.235,0.301,0.044,0.000,0.230,0.010,0.000,0.300,0.460,0.618
0.054,0.179,0.257,0.189,0.199,0.122,0.068,0.182,0.278,0.222,0.205,0.045,0.000,0.160,0.030,0.000,0.440,0.370,0.595
0.051,0.220,0.193,0.209,0.199,0.128,0.046,0.215,0.205,0.241,0.221,0.072,0.000,0.230,0.040,0.000,0.340,0.390,0.659
0.037,0.216,0.162,0.216,0.186,0.182,0.044,0.278,0.228,0.215,0.190,0.044,0.000,0.210,0.030,0.000,0.300,0.460,0.534
0.051,0.169,0.182,0.203,0.213,0.182,0.046,0.200,0.231,0.200,0.215,0.108,0.000,0.140,0.010,0.000,0.390,0.460,0.659
0.054,0.189,0.193,0.230,0.193,0.142,0.076,0.200,0.182,0.265,0.241,0.035,0.000,0.230,0.010,0.000,0.430,0.330,0.574
0.064,0.169,0.203,0.236,0.196,0.132,0.067,0.201,0.214,0.250,0.201,0.067,0.000,0.150,0.000,0.000,0.410,0.440,0.757
0.051,0.196,0.155,0.223,0.196,0.179,0.050,0.298,0.170,0.248,0.177,0.057,0.000,0.180,0.010,0.000,0.400,0.410,0.476
0.064,0.209,0.220,0.149,0.233,0.125,0.069,0.225,0.211,0.167,0.270,0.059,0.000,0.200,0.030,0.000,0.410,0.360,0.689
0.041,0.220,0.176,0.220,0.196,0.149,0.041,0.258,0.175,0.216,0.201,0.108,0.000,0.160,0.040,0.000,0.450,0.350,0.655
0.054,0.199,0.226,0.169,0.213,0.139,0.035,0.284,0.248,0.227,0.156,0.050,0.000,0.160,0.030,0.000,0.490,0.320,0.476
0.054,0.196,0.196,0.206,0.213,0.135,0.052,0.201,0.253,0.207,0.207,0.080,0.000,0.200,0.050,0.000,0.400,0.350,0.588
0.068,0.182,0.176,0.186,0.203,0.186,0.074,0.233,0.202,0.209,0.202,0.080,0.000,0.160,0.010,0.000,0.370,0.460,0.551
0.037,0.186,0.243,0.206,0.169,0.159,0.042,0.200,0.263,0.237,0.195,0.063,0.000,0.190,0.010,0.000,0.290,0.510,0.642
0.044,0.172,0.230,0.176,0.179,0.199,0.064,0.197,0.283,0.168,0.202,0.087,0.000,0.190,0.030,0.000,0.340,0.440,0.584
0.037,0.226,0.169,0.193,0.247,0.128,0.039,0.274,0.190,0.184,0.251,0.061,0.000,0.180,0.030,0.000,0.440,0.350,0.605
0.051,0.166,0.216,0.220,0.203,0.145,0.057,0.193,0.245,0.245,0.214,0.047,0.000,0.130,0.030,0.000,0.350,0.490,0.649
0.061,0.203,0.216,0.220,0.139,0.162,0.069,0.190,0.228,0.222,0.190,0.101,0.000,0.180,0.060,0.000,0.280,0.480,0.639
0.037,0.209,0.172,0.216,0.230,0.135,0.060,0.256,0.202,0.196,0.244,0.042,0.000,0.150,0.000,0.000,0.460,0.390,0.568
0.068,0.179,0.203,0.209,0.203,0.139,0.096,0.204,0.210,0.242,0.223,0.025,0.000,0.160,0.040,0.000,0.450,0.350,0.530
0.041,0.206,0.216,0.189,0.172,0.176,0.052,0.246,0.230,0.162,0.225,0.084,0.000,0.150,0.010,0.000,0.300,0.540,0.645
0.047,0.230,0.176,0.189,0.186,0.172,0.060,0.259,0.199,0.223,0.187,0.072,0.000,0.130,0.060,0.000,0.380,0.430,0.561
0.041,0.213,0.223,0.189,0.186,0.149,0.051,0.239,0.256,0.188,0.199,0.068,0.000,0.190,0.050,0.000,0.370,0.390,0.595
0.064,0.206,0.220,0.193,0.199,0.118,0.051,0.218,0.236,0.227,0.208,0.060,0.000,0.100,0.020,0.000,0.420,0.460,0.730
0.054,0.189,0.189,0.213,0.226,0.128,0.057,0.201,0.211,0.234,0.234,0.062,0.000,0.160,0.000,0.000,0.430,0.410,0.706
0.027,0.172,0.203,0.186,0.203,0.209,0.048,0.238,0.246,0.222,0.198,0.048,0.000,0.130,0.050,0.000,0.390,0.430,0.426
0.037,0.152,0.169,0.196,0.213,0.233,0.051,0.241,0.204,0.153,0.241,0.109,0.000,0.090,0.030,0.000,0.350,0.530,0.463
0.047,0.199,0.213,0.182,0.186,0.172,0.059,0.235,0.303,0.193,0.168,0.042,0.000,0.210,0.010,0.000,0.370,0.410,0.402
0.047,0.213,0.220,0.179,0.176,0.166,0.062,0.232,0.249,0.237,0.175,0.045,0.000,0.170,0.010,0.000,0.320,0.500,0.598
0.054,0.220,0.189,0.172,0.193,0.172,0.062,0.215,0.215,0.209,0.237,0.062,0.000,0.190,0.030,0.000,0.350,0.430,0.598
0.061,0.182,0.176,0.253,0.206,0.122,0.059,0.207,0.207,0.261,0.241,0.025,0.000,0.190,0.010,0.000,0.330,0.470,0.686
0.057,0.216,0.209,0.250,0.159,0.108,0.062,0.234,0.234,0.258,0.153,0.057,0.000,0.150,0.040,0.000,0.350,0.460,0.706
0.074,0.233,0.189,0.209,0.142,0.152,0.082,0.226,0.190,0.226,0.190,0.087,0.000,0.200,0.000,0.000,0.350,0.450,0.659
0.030,0.206,0.220,0.216,0.186,0.142,0.040,0.218,0.253,0.218,0.218,0.052,0.000,0.170,0.030,0.000,0.370,0.430,0.588
0.041,0.220,0.216,0.223,0.172,0.128,0.042,0.246,0.269,0.228,0.174,0.042,0.000,0.240,0.010,0.000,0.370,0.380,0.564
0.054,0.206,0.155,0.236,0.213,0.135,0.037,0.207,0.146,0.299,0.244,0.067,0.000,0.200,0.000,0.000,0.340,0.460,0.554
0.064,0.223,0.189,0.162,0.230,0.132,0.053,0.274,0.205,0.163,0.253,0.053,0.000,0.250,0.030,0.000,0.390,0.330,0.642
0.051,0.182,0.172,0.209,0.209,0.176,0.073,0.201,0.184,0.251,0.212,0.078,0.000,0.140,0.020,0.000,0.340,0.500,0.605
0.078,0.162,0.209,0.233,0.159,0.159,0.083,0.210,0.223,0.242,0.191,0.051,0.000,0.180,0.020,0.000,0.300,0.500,0.530
0.034,0.179,0.209,0.176,0.260,0.142,0.049,0.186,0.230,0.197,0.290,0.049,0.000,0.150,0.000,0.000,0.410,0.440,0.618
0.061,0.206,0.220,0.162,0.199,0.152,0.073,0.232,0.254,0.175,0.203,0.062,0.000,0.250,0.020,0.000,0.360,0.370,0.598
0.074,0.206,0.209,0.182,0.199,0.128,0.067,0.233,0.192,0.212,0.223,0.073,0.000,0.140,0.030,0.000,0.480,0.350,0.652
0.051,0.247,0.149,0.149,0.243,0.162,0.061,0.229,0.196,0.156,0.251,0.106,0.000,0.210,0.000,0.000,0.370,0.420,0.605
0.054,0.209,0.186,0.213,0.226,0.111,0.058,0.221,0.184,0.253,0.226,0.058,0.000,0.240,0.020,0.000,0.380,0.360,0.642
0.027,0.186,0.206,0.213,0.186,0.182,0.056,0.226,0.220,0.260,0.186,0.051,0.000,0.140,0.010,0.000,0.370,0.480,0.598
0.068,0.206,0.203,0.240,0.135,0.149,0.095,0.224,0.219,0.249,0.159,0.055,0.000,0.110,0.010,0.000,0.370,0.510,0.679
0.074,0.203,0.206,0.182,0.166,0.169,0.101,0.231,0.225,0.195,0.166,0.083,0.000,0.200,0.020,0.000,0.330,0.450,0.571
0.061,0.182,0.230,0.216,0.193,0.118,0.068,0.183,0.246,0.241,0.220,0.042,0.000,0.210,0.010,0.000,0.400,0.380,0.645
0.034,0.186,0.216,0.233,0.203,0.128,0.037,0.244,0.238,0.220,0.226,0.037,0.000,0.180,0.020,0.000,0.430,0.370,0.554
0.064,0.220,0.159,0.169,0.240,0.149,0.049,0.230,0.162,0.191,0.265,0.103,0.000,0.210,0.010,0.000,0.450,0.330,0.689
0.037,0.155,0.260,0.176,0.166,0.206,0.048,0.216,0.288,0.192,0.208,0.048,0.000,0.230,0.020,0.000,0.310,0.440,0.422
0.041,0.199,0.162,0.236,0.179,0.182,0.032,0.303,0.174,0.232,0.187,0.071,0.000,0.210,0.040,0.000,0.320,0.430,0.524
0.047,0.213,0.159,0.209,0.226,0.145,0.035,0.227,0.174,0.198,0.267,0.099,0.000,0.220,0.010,0.000,0.430,0.340,0.581
0.044,0.176,0.206,0.193,0.253,0.128,0.029,0.217,0.246,0.206,0.246,0.057,0.000,0.170,0.020,0.000,0.450,0.360,0.591
0.044,0.206,0.193,0.199,0.199,0.159,0.039,0.244,0.206,0.228,0.222,0.061,0.000,0.150,0.010,0.000,0.390,0.450,0.608
0.041,0.233,0.213,0.182,0.176,0.155,0.041,0.262,0.255,0.179,0.193,0.069,0.000,0.140,0.010,0.000,0.380,0.470,0.490
0.068,0.189,0.226,0.169,0.226,0.122,0.063,0.218,0.247,0.224,0.224,0.023,0.000,0.180,0.020,0.000,0.450,0.350,0.588
0.051,0.193,0.193,0.216,0.223,0.125,0.036,0.194,0.212,0.261,0.255,0.042,0.000,0.240,0.030,0.000,0.390,0.340,0.557
0.047,0.250,0.203,0.169,0.199,0.132,0.035,0.278,0.188,0.215,0.243,0.042,0.000,0.190,0.010,0.000,0.390,0.410,0.486
0.088,0.213,0.206,0.172,0.230,0.091,0.075,0.221,0.204,0.181,0.243,0.075,0.000,0.220,0.070,0.000,0.450,0.260,0.764
0.041,0.203,0.203,0.220,0.172,0.162,0.040,0.199,0.234,0.264,0.189,0.075,0.000,0.170,0.030,0.000,0.300,0.500,0.679
0.020,0.172,0.182,0.213,0.223,0.189,0.027,0.176,0.236,0.230,0.264,0.068,0.000,0.140,0.010,0.000,0.350,0.500,0.500
