# Au,Ir,Pd,Pt,Rh,Ru
0.051,0.166,0.216,0.220,0.203,0.145
0.055,0.165,0.252,0.234,0.229,0.064
0.061,0.173,0.235,0.245,0.224,0.061
0.062,0.176,0.244,0.244,0.212,0.062
0.063,0.183,0.241,0.246,0.209,0.058
0.063,0.184,0.237,0.242,0.211,0.063
0.062,0.190,0.226,0.246,0.215,0.062
0.062,0.188,0.229,0.250,0.214,0.057
0.062,0.188,0.229,0.245,0.219,0.057
0.062,0.186,0.237,0.247,0.211,0.057
0.062,0.190,0.241,0.246,0.210,0.051
0.062,0.191,0.242,0.247,0.211,0.046
0.057,0.193,0.245,0.245,0.214,0.047
0.057,0.193,0.245,0.245,0.214,0.047
0.057,0.193,0.245,0.245,0.214,0.047
