# Ir,Pd,Pt,Rh,Ru
0.216,0.193,0.189,0.182,0.220
0.234,0.228,0.241,0.209,0.089
0.260,0.191,0.221,0.267,0.061
0.224,0.272,0.200,0.232,0.072
0.225,0.288,0.189,0.252,0.045
0.202,0.312,0.193,0.257,0.037
0.188,0.312,0.205,0.250,0.045
0.205,0.304,0.214,0.223,0.054
0.212,0.308,0.212,0.231,0.038
0.184,0.311,0.214,0.233,0.058
0.186,0.314,0.235,0.235,0.029
0.198,0.327,0.238,0.208,0.030
0.194,0.327,0.224,0.214,0.041
0.204,0.323,0.258,0.183,0.032
0.220,0.319,0.242,0.187,0.033
0.237,0.312,0.226,0.183,0.043
0.239,0.315,0.228,0.185,0.033
0.239,0.315,0.228,0.185,0.033
