# Au_i,Cu_i,Pd_i,Au_f,Cu_f,Pd_f,Au_d,Cu_d,Pd_d,Sd
0.3100,0.3300,0.3600,0.5000,0.0000,0.5000,0.0000,0.5900,0.4100,0.2568
0.3000,0.3300,0.3700,0.4900,0.0000,0.5100,0.0000,0.6500,0.3500,0.2736
0.3500,0.3700,0.2800,0.5400,0.0000,0.4600,0.0000,0.6200,0.3800,0.1993
0.3400,0.3200,0.3400,0.4900,0.0000,0.5100,0.0000,0.6300,0.3700,0.2703
0.2900,0.3600,0.3500,0.4200,0.0000,0.5800,0.0000,0.5900,0.4100,0.2466
0.3200,0.3800,0.3000,0.3900,0.0000,0.6100,0.0000,0.6400,0.3600,0.2432
0.3600,0.3100,0.3300,0.5600,0.0000,0.4400,0.0000,0.6100,0.3900,0.2872
0.3500,0.3400,0.3100,0.5000,0.0000,0.5000,0.0000,0.5800,0.4200,0.2500
0.2700,0.3700,0.3600,0.5600,0.0000,0.4400,0.0000,0.6000,0.4000,0.1993
0.3200,0.3800,0.3000,0.4300,0.0000,0.5700,0.0000,0.6600,0.3400,0.2601
0.3500,0.3300,0.3200,0.5300,0.0000,0.4700,0.0000,0.5800,0.4200,0.2432
0.3000,0.3600,0.3400,0.5000,0.0000,0.5000,0.0000,0.6200,0.3800,0.2230
0.3300,0.3400,0.3300,0.5000,0.0000,0.5000,0.0000,0.6000,0.4000,0.2365
0.3800,0.3000,0.3200,0.5600,0.0000,0.4400,0.0000,0.6300,0.3700,0.2534
0.3300,0.3500,0.3200,0.4800,0.0000,0.5200,0.0000,0.6700,0.3300,0.2230
0.3500,0.3400,0.3100,0.4900,0.0000,0.5100,0.0000,0.6500,0.3500,0.2466
0.3500,0.3300,0.3200,0.5700,0.0000,0.4300,0.0000,0.6100,0.3900,0.2196
0.3600,0.3500,0.2900,0.5300,0.0000,0.4700,0.0000,0.6400,0.3600,0.2432
0.3800,0.3200,0.3000,0.5600,0.0000,0.4400,0.0000,0.6100,0.3900,0.2230
0.3200,0.3600,0.3200,0.5700,0.0000,0.4300,0.0000,0.6400,0.3600,0.2365
0.3300,0.3300,0.3400,0.6000,0.0000,0.4000,0.0000,0.6100,0.3900,0.2635
0.3700,0.3200,0.3100,0.5900,0.0000,0.4100,0.0000,0.5600,0.4400,0.2534
0.3500,0.3700,0.2800,0.5800,0.0000,0.4200,0.0000,0.6100,0.3900,0.2027
0.3600,0.3400,0.3000,0.5200,0.0000,0.4800,0.0000,0.6800,0.3200,0.2905
0.3200,0.3000,0.3800,0.5100,0.0000,0.4900,0.0000,0.5700,0.4300,0.2466
0.3400,0.3000,0.3600,0.5900,0.0000,0.4100,0.0000,0.6100,0.3900,0.2297
0.3000,0.3300,0.3700,0.5000,0.0000,0.5000,0.0000,0.6100,0.3900,0.2297
0.3000,0.3400,0.3600,0.5100,0.0000,0.4900,0.0000,0.6200,0.3800,0.2365
0.3800,0.2800,0.3400,0.4500,0.0000,0.5500,0.0000,0.5600,0.4400,0.2568
