# Au,Cu,Pt
0.3021,0.3307,0.3672
0.2984,0.3325,0.3691
0.2974,0.3316,0.3710
0.2981,0.3325,0.3694
0.2971,0.3316,0.3713
0.2960,0.3307,0.3733
0.2968,0.3315,0.3717
0.2976,0.3298,0.3726
0.2976,0.3298,0.3726
0.2984,0.3280,0.3736
0.2973,0.3270,0.3757
0.2973,0.3270,0.3757
0.2954,0.3279,0.3767
0.2981,0.3279,0.3740
0.2997,0.3243,0.3760
0.3006,0.3251,0.3743
0.3022,0.3242,0.3736
0.3050,0.3214,0.3736
0.3066,0.3232,0.3702
0.3075,0.3241,0.3684
0.3064,0.3231,0.3705
0.3081,0.3221,0.3698
0.3073,0.3212,0.3715
0.3073,0.3240,0.3687
0.3062,0.3230,0.3708
0.3079,0.3192,0.3729
0.3079,0.3192,0.3729
0.3068,0.3210,0.3722
0.3097,0.3210,0.3693
0.3097,0.3210,0.3693
0.3097,0.3210,0.3693
0.3077,0.3219,0.3704
0.3048,0.3248,0.3704
0.3009,0.3266,0.3725
0.3026,0.3256,0.3718
0.3006,0.3266,0.3728
0.2986,0.3275,0.3739
0.2974,0.3294,0.3732
0.2962,0.3284,0.3754
0.2970,0.3265,0.3765
0.2979,0.3245,0.3776
0.2938,0.3264,0.3798
0.2946,0.3244,0.3810
0.2955,0.3224,0.3821
0.2934,0.3234,0.3832
0.2934,0.3234,0.3832
0.2934,0.3264,0.3802
0.2922,0.3253,0.3825
0.2930,0.3263,0.3807
0.2931,0.3293,0.3776
0.2913,0.3333,0.3754
0.2900,0.3354,0.3746
0.2888,0.3343,0.3769
0.2896,0.3354,0.3750
0.2884,0.3374,0.3742
0.2901,0.3364,0.3735
0.2923,0.3354,0.3723
0.2954,0.3354,0.3692
0.2972,0.3344,0.3684
0.2981,0.3354,0.3665
0.2960,0.3364,0.3676
0.2947,0.3385,0.3668
0.2956,0.3396,0.3648
0.2975,0.3386,0.3639
0.2962,0.3408,0.3630
0.2949,0.3429,0.3622
0.2968,0.3419,0.3613
0.2945,0.3430,0.3625
0.2945,0.3463,0.3592
0.2954,0.3442,0.3604
0.2941,0.3431,0.3628
0.2964,0.3420,0.3616
0.2997,0.3420,0.3583
0.3007,0.3431,0.3562
0.3016,0.3410,0.3574
0.3036,0.3399,0.3565
0.3023,0.3422,0.3555
0.3044,0.3411,0.3545
0.3064,0.3401,0.3535
0.3064,0.3401,0.3535
0.3051,0.3424,0.3525
0.3051,0.3424,0.3525
0.3051,0.3424,0.3525
