# Pd_i,Pt_i,Ru_i,Pd_f,Pt_f,Ru_f,Pd_d,Pt_d,Ru_d,Sd
0.3750,0.2812,0.3438,0.5473,0.4527,0.0000,0.0600,0.0100,0.9300,0.3854
0.3359,0.3021,0.3620,0.4571,0.5429,0.0000,0.0800,0.0100,0.9100,0.2734
0.3333,0.3672,0.2995,0.4962,0.5038,0.0000,0.0800,0.0300,0.8900,0.3464
0.3385,0.3203,0.3412,0.4655,0.5345,0.0000,0.0500,0.0400,0.9100,0.3021
0.3411,0.3516,0.3073,0.4792,0.5208,0.0000,0.0600,0.0300,0.9100,0.3750
0.3385,0.3073,0.3542,0.5214,0.4786,0.0000,0.0600,0.0300,0.9100,0.3047
0.3411,0.3073,0.3516,0.5041,0.4959,0.0000,0.0600,0.0200,0.9200,0.3203
0.3542,0.3229,0.3229,0.4777,0.5223,0.0000,0.0400,0.0400,0.9200,0.4089
0.3385,0.3542,0.3073,0.6016,0.3984,0.0000,0.0500,0.0100,0.9400,0.3203
0.2786,0.3490,0.3724,0.4327,0.5673,0.0000,0.0600,0.0100,0.9300,0.2708
0.3516,0.2864,0.3620,0.5238,0.4762,0.0000,0.0600,0.0300,0.9100,0.3281
0.3021,0.3307,0.3672,0.4552,0.5448,0.0000,0.0400,0.0100,0.9500,0.3776
0.3776,0.3307,0.2917,0.4765,0.5235,0.0000,0.0700,0.0200,0.9100,0.3880
0.3307,0.3386,0.3307,0.5243,0.4757,0.0000,0.0500,0.0400,0.9100,0.2682
0.3255,0.3594,0.3151,0.4371,0.5629,0.0000,0.0600,0.0200,0.9200,0.3932
0.3099,0.3437,0.3464,0.4211,0.5789,0.0000,0.0600,0.0300,0.9100,0.3464
0.3281,0.2995,0.3724,0.4711,0.5289,0.0000,0.0400,0.0300,0.9300,0.3151
0.3464,0.3255,0.3281,0.5328,0.4672,0.0000,0.0600,0.0200,0.9200,0.3568
0.3463,0.3620,0.2917,0.5362,0.4638,0.0000,0.0100,0.0300,0.9600,0.3594
0.3490,0.3437,0.3073,0.5662,0.4338,0.0000,0.0500,0.0100,0.9400,0.3542
0.3516,0.3281,0.3203,0.4957,0.5043,0.0000,0.0600,0.0300,0.9100,0.2995
0.3594,0.3073,0.3333,0.5263,0.4737,0.0000,0.0300,0.0200,0.9500,0.2969
0.3568,0.3333,0.3099,0.5299,0.4701,0.0000,0.0700,0.0200,0.9100,0.3490
0.3307,0.3516,0.3177,0.4928,0.5072,0.0000,0.0700,0.0300,0.9000,0.3594
0.3177,0.3620,0.3203,0.4474,0.5526,0.0000,0.0700,0.0100,0.9200,0.2969
0.3307,0.3542,0.3151,0.5124,0.4876,0.0000,0.0300,0.0000,0.9700,0.3151
0.3411,0.3125,0.3464,0.5188,0.4812,0.0000,0.0600,0.0400,0.9000,0.3464
0.3333,0.3360,0.3307,0.5299,0.4701,0.0000,0.0600,0.0100,0.9300,0.3047
0.3490,0.3151,0.3359,0.4483,0.5517,0.0000,0.0500,0.0300,0.9200,0.3021
0.3646,0.3177,0.3177,0.5344,0.4656,0.0000,0.0800,0.0500,0.8700,0.3411
0.3125,0.3411,0.3464,0.5000,0.5000,0.0000,0.0300,0.0200,0.9500,0.3906
0.3385,0.3438,0.3177,0.5821,0.4179,0.0000,0.0700,0.0300,0.9000,0.3490
0.3438,0.3255,0.3307,0.4830,0.5170,0.0000,0.0800,0.0400,0.8800,0.3828
0.3177,0.3750,0.3073,0.4365,0.5635,0.0000,0.0500,0.0200,0.9300,0.3281
0.3620,0.3021,0.3359,0.5274,0.4726,0.0000,0.0500,0.0300,0.9200,0.3802
0.3333,0.3360,0.3307,0.4918,0.5082,0.0000,0.0700,0.0100,0.9200,0.3177
0.3307,0.3360,0.3333,0.4681,0.5319,0.0000,0.0600,0.0300,0.9100,0.3672
0.2865,0.3802,0.3333,0.5106,0.4894,0.0000,0.0300,0.0300,0.9400,0.3672
0.3698,0.2865,0.3437,0.6038,0.3962,0.0000,0.0500,0.0400,0.9100,0.2760
0.3776,0.2656,0.3568,0.5604,0.4396,0.0000,0.0500,0.0200,0.9300,0.2370
0.3359,0.3412,0.3229,0.4737,0.5263,0.0000,0.0400,0.0200,0.9400,0.3464
0.3412,0.3255,0.3333,0.5462,0.4538,0.0000,0.0700,0.0200,0.9100,0.3385
0.3125,0.3594,0.3281,0.4928,0.5072,0.0000,0.0600,0.0100,0.9300,0.3594
0.2786,0.3516,0.3698,0.5484,0.4516,0.0000,0.0700,0.0100,0.9200,0.2422
0.3255,0.3490,0.3255,0.5119,0.4881,0.0000,0.0600,0.0100,0.9300,0.4375
0.3412,0.3333,0.3255,0.4531,0.5469,0.0000,0.0600,0.0200,0.9200,0.3333
0.3594,0.2734,0.3672,0.5574,0.4426,0.0000,0.0600,0.0300,0.9100,0.3177
0.3073,0.3437,0.3490,0.4359,0.5641,0.0000,0.0800,0.0200,0.9000,0.3047
0.2995,0.3463,0.3542,0.4409,0.5591,0.0000,0.0500,0.0300,0.9200,0.3307
0.3646,0.3177,0.3177,0.5593,0.4407,0.0000,0.0400,0.0100,0.9500,0.3073
