# Pd,Pt,Ru
0.3307,0.3386,0.3307
0.3299,0.3403,0.3298
0.3316,0.3368,0.3316
0.3281,0.3386,0.3333
0.3263,0.3395,0.3342
0.3254,0.3413,0.3333
0.3244,0.3405,0.3351
0.3208,0.3423,0.3369
0.3225,0.3387,0.3388
0.3206,0.3397,0.3397
0.3224,0.3388,0.3388
0.3233,0.3370,0.3397
0.3214,0.3379,0.3407
0.3232,0.3398,0.3370
0.3222,0.3389,0.3389
0.3204,0.3398,0.3398
0.3221,0.3390,0.3389
0.3230,0.3371,0.3399
0.3239,0.3352,0.3409
0.3249,0.3361,0.3390
0.3277,0.3361,0.3362
0.3258,0.3371,0.3371
0.3248,0.3390,0.3362
0.3238,0.3381,0.3381
0.3228,0.3400,0.3372
0.3247,0.3391,0.3362
0.3236,0.3382,0.3382
0.3226,0.3372,0.3402
0.3235,0.3353,0.3412
0.3245,0.3333,0.3422
0.3264,0.3353,0.3383
0.3254,0.3343,0.3403
0.3264,0.3353,0.3383
0.3264,0.3353,0.3383
0.3264,0.3353,0.3383
0.3284,0.3343,0.3373
0.3294,0.3353,0.3353
0.3303,0.3364,0.3333
0.3273,0.3394,0.3333
0.3283,0.3404,0.3313
0.3293,0.3384,0.3323
0.3313,0.3404,0.3283
0.3293,0.3414,0.3293
0.3272,0.3425,0.3303
0.3292,0.3416,0.3292
0.3313,0.3405,0.3282
0.3292,0.3416,0.3292
0.3302,0.3427,0.3271
0.3302,0.3427,0.3271
0.3323,0.3386,0.3291
0.3333,0.3396,0.3271
0.3271,0.3459,0.3270
0.3260,0.3449,0.3291
0.3259,0.3418,0.3323
0.3237,0.3430,0.3333
0.3226,0.3419,0.3355
0.3236,0.3431,0.3333
0.3236,0.3431,0.3333
0.3236,0.3431,0.3333
0.3236,0.3431,0.3333
0.3236,0.3463,0.3301
0.3236,0.3463,0.3301
0.3203,0.3464,0.3333
0.3203,0.3464,0.3333
0.3191,0.3487,0.3322
0.3201,0.3499,0.3300
0.3212,0.3510,0.3278
0.3245,0.3510,0.3245
0.3289,0.3455,0.3256
0.3322,0.3422,0.3256
0.3345,0.3411,0.3244
0.3356,0.3423,0.3221
0.3333,0.3435,0.3232
0.3300,0.3467,0.3233
0.3300,0.3467,0.3233
0.3322,0.3423,0.3255
0.3345,0.3446,0.3209
0.3333,0.3436,0.3231
0.3345,0.3413,0.3242
0.3345,0.3413,0.3242
0.3345,0.3413,0.3242
0.3345,0.3413,0.3242
0.3368,0.3402,0.3230
0.3368,0.3402,0.3230
0.3379,0.3379,0.3242
0.3391,0.3356,0.3253
0.3414,0.3345,0.3241
0.3414,0.3345,0.3241
0.3461,0.3322,0.3217
0.3474,0.3333,0.3193
0.3474,0.3368,0.3158
0.3486,0.3345,0.3169
0.3486,0.3345,0.3169
0.3498,0.3322,0.3180
0.3511,0.3298,0.3191
0.3500,0.3321,0.3179
0.3464,0.3357,0.3179
0.3464,0.3357,0.3179
0.3417,0.3381,0.3202
0.3417,0.3381,0.3202
0.3417,0.3381,0.3202
0.3417,0.3381,0.3202
0.3393,0.3394,0.3213
0.3418,0.3382,0.3200
0.3467,0.3321,0.3212
0.3419,0.3346,0.3235
0.3395,0.3358,0.3247
0.3395,0.3358,0.3247
0.3395,0.3358,0.3247
0.3395,0.3395,0.3210
0.3408,0.3407,0.3185
0.3420,0.3383,0.3197
0.3420,0.3383,0.3197
0.3420,0.3346,0.3234
0.3433,0.3321,0.3246
0.3446,0.3333,0.3221
0.3434,0.3321,0.3245
0.3421,0.3308,0.3271
0.3421,0.3346,0.3233
0.3359,0.3359,0.3282
0.3346,0.3385,0.3269
0.3333,0.3412,0.3255
0.3360,0.3360,0.3280
0.3387,0.3386,0.3227
0.3374,0.3373,0.3253
0.3414,0.3333,0.3253
0.3429,0.3347,0.3224
0.3429,0.3347,0.3224
0.3428,0.3388,0.3184
0.3546,0.3386,0.3068
0.3560,0.3400,0.3040
0.3534,0.3414,0.3052
0.3548,0.3428,0.3024
0.3486,0.3485,0.3029
0.3530,0.3529,0.2941
0.3586,0.3460,0.2954
0.3586,0.3460,0.2954
0.3617,0.3489,0.2894
0.3590,0.3547,0.2863
0.3621,0.3577,0.2802
0.3636,0.3593,0.2771
0.3636,0.3593,0.2771
0.3609,0.3609,0.2782
0.3581,0.3668,0.2751
0.3565,0.3652,0.2783
0.3581,0.3668,0.2751
0.3612,0.3657,0.2731
0.3600,0.3689,0.2711
0.3632,0.3677,0.2691
0.3665,0.3710,0.2625
0.3665,0.3710,0.2625
