# Pd_i,Pt_i,Ru_i,Pd_f,Pt_f,Ru_f,Pd_d,Pt_d,Ru_d,fd
0.310,0.330,0.360,0.420,0.580,0.000,0.070,0.020,0.910,0.321
0.300,0.330,0.370,0.470,0.530,0.000,0.130,0.010,0.860,0.294
0.350,0.370,0.280,0.450,0.550,0.000,0.040,0.000,0.960,0.355
0.340,0.320,0.340,0.550,0.440,0.010,0.090,0.020,0.890,0.294
0.290,0.360,0.350,0.430,0.560,0.010,0.100,0.000,0.900,0.321
0.320,0.380,0.300,0.480,0.510,0.010,0.060,0.000,0.940,0.334
0.360,0.310,0.330,0.570,0.430,0.000,0.140,0.010,0.850,0.307
0.350,0.340,0.310,0.500,0.490,0.010,0.100,0.010,0.890,0.351
0.270,0.370,0.360,0.460,0.500,0.040,0.080,0.010,0.910,0.264
0.320,0.380,0.300,0.450,0.550,0.000,0.090,0.010,0.900,0.328
0.350,0.330,0.320,0.560,0.440,0.000,0.080,0.000,0.920,0.361
0.300,0.360,0.340,0.430,0.570,0.000,0.060,0.000,0.940,0.382
0.330,0.340,0.330,0.460,0.540,0.000,0.110,0.000,0.890,0.311
0.380,0.300,0.320,0.570,0.430,0.000,0.150,0.000,0.850,0.334
0.330,0.350,0.320,0.510,0.490,0.000,0.080,0.010,0.910,0.439
0.350,0.340,0.310,0.500,0.500,0.000,0.060,0.010,0.930,0.355
0.350,0.330,0.320,0.470,0.520,0.010,0.060,0.010,0.930,0.341
0.360,0.350,0.290,0.440,0.560,0.000,0.080,0.000,0.920,0.402
0.380,0.310,0.310,0.530,0.470,0.000,0.080,0.010,0.910,0.355
0.320,0.360,0.320,0.560,0.440,0.000,0.070,0.000,0.930,0.307
0.330,0.330,0.340,0.600,0.400,0.000,0.100,0.010,0.890,0.287
0.370,0.320,0.310,0.460,0.520,0.020,0.100,0.010,0.890,0.365
0.350,0.370,0.280,0.490,0.510,0.000,0.120,0.010,0.870,0.392
0.360,0.340,0.300,0.470,0.530,0.000,0.090,0.000,0.910,0.345
0.320,0.300,0.380,0.500,0.490,0.010,0.060,0.020,0.920,0.345
0.340,0.300,0.360,0.570,0.430,0.000,0.080,0.020,0.900,0.284
0.300,0.330,0.370,0.460,0.540,0.000,0.080,0.010,0.910,0.304
0.300,0.340,0.360,0.500,0.500,0.000,0.060,0.030,0.910,0.368
0.380,0.280,0.340,0.470,0.530,0.000,0.130,0.020,0.850,0.314
0.380,0.330,0.290,0.500,0.490,0.010,0.080,0.020,0.900,0.318
0.320,0.330,0.350,0.490,0.510,0.000,0.070,0.010,0.920,0.294
0.370,0.340,0.290,0.480,0.520,0.000,0.090,0.010,0.900,0.331
0.380,0.340,0.280,0.560,0.420,0.020,0.070,0.010,0.920,0.426
0.320,0.310,0.370,0.590,0.410,0.000,0.070,0.010,0.920,0.351
0.330,0.340,0.330,0.510,0.490,0.000,0.100,0.020,0.880,0.345
0.280,0.370,0.350,0.410,0.550,0.040,0.090,0.010,0.900,0.361
0.380,0.330,0.290,0.430,0.570,0.000,0.110,0.010,0.880,0.416
0.380,0.290,0.330,0.580,0.420,0.000,0.100,0.010,0.890,0.338
0.360,0.290,0.350,0.500,0.480,0.020,0.120,0.030,0.850,0.338
0.370,0.300,0.330,0.600,0.400,0.000,0.050,0.000,0.950,0.409
0.350,0.330,0.320,0.460,0.530,0.010,0.090,0.010,0.900,0.385
0.360,0.310,0.330,0.560,0.440,0.000,0.130,0.020,0.850,0.277
0.350,0.330,0.320,0.550,0.440,0.010,0.070,0.010,0.920,0.318
0.330,0.330,0.340,0.450,0.550,0.000,0.050,0.010,0.940,0.365
0.370,0.310,0.320,0.500,0.500,0.000,0.060,0.000,0.940,0.331
0.350,0.290,0.360,0.420,0.580,0.000,0.090,0.010,0.900,0.314
