# Au_i,Pd_i,Pt_i,Ru_i,Au_f,Pd_f,Pt_f,Ru_f,Au_d,Pd_d,Pt_d,Ru_d,fd
0.051,0.355,0.328,0.267,0.069,0.451,0.458,0.021,0.000,0.050,0.000,0.950,0.486
0.020,0.341,0.358,0.280,0.026,0.456,0.518,0.000,0.000,0.080,0.010,0.910,0.385
0.044,0.361,0.314,0.280,0.094,0.480,0.417,0.008,0.000,0.050,0.000,0.950,0.429
0.037,0.348,0.351,0.264,0.051,0.504,0.445,0.000,0.000,0.100,0.000,0.900,0.463
0.010,0.334,0.307,0.348,0.043,0.424,0.533,0.000,0.000,0.090,0.000,0.910,0.311
0.024,0.328,0.345,0.304,0.044,0.489,0.467,0.000,0.000,0.070,0.000,0.930,0.463
0.034,0.351,0.284,0.331,0.071,0.484,0.437,0.008,0.000,0.120,0.010,0.870,0.426
0.030,0.368,0.341,0.260,0.082,0.451,0.451,0.016,0.000,0.080,0.000,0.920,0.412
0.014,0.341,0.341,0.304,0.064,0.440,0.496,0.000,0.000,0.100,0.020,0.880,0.422
0.020,0.331,0.314,0.334,0.049,0.459,0.492,0.000,0.000,0.050,0.000,0.950,0.412
0.017,0.385,0.297,0.301,0.041,0.504,0.446,0.008,0.000,0.090,0.000,0.910,0.409
0.037,0.297,0.358,0.307,0.075,0.483,0.433,0.008,0.000,0.040,0.000,0.960,0.405
0.041,0.318,0.375,0.267,0.075,0.434,0.491,0.000,0.000,0.040,0.000,0.960,0.584
0.010,0.321,0.372,0.297,0.031,0.433,0.496,0.039,0.000,0.070,0.000,0.930,0.429
0.020,0.324,0.338,0.318,0.055,0.464,0.473,0.009,0.000,0.060,0.000,0.940,0.372
0.020,0.314,0.321,0.345,0.051,0.423,0.526,0.000,0.000,0.020,0.000,0.980,0.264
0.017,0.321,0.348,0.314,0.029,0.549,0.422,0.000,0.000,0.060,0.000,0.940,0.345
0.020,0.311,0.311,0.358,0.035,0.512,0.453,0.000,0.000,0.060,0.000,0.940,0.291
0.014,0.314,0.368,0.304,0.053,0.409,0.530,0.008,0.000,0.090,0.000,0.910,0.446
0.020,0.361,0.274,0.345,0.064,0.495,0.440,0.000,0.000,0.050,0.000,0.950,0.368
0.037,0.355,0.348,0.260,0.071,0.494,0.429,0.006,0.000,0.060,0.000,0.940,0.527
0.034,0.355,0.314,0.297,0.028,0.465,0.500,0.007,0.000,0.120,0.000,0.880,0.486
0.044,0.382,0.372,0.203,0.067,0.488,0.439,0.006,0.000,0.120,0.000,0.880,0.554
0.010,0.368,0.318,0.304,0.016,0.484,0.500,0.000,0.000,0.090,0.000,0.910,0.426
0.024,0.301,0.341,0.334,0.065,0.435,0.491,0.009,0.000,0.100,0.000,0.900,0.365
0.030,0.324,0.348,0.297,0.054,0.495,0.450,0.000,0.000,0.110,0.000,0.890,0.375
0.030,0.345,0.361,0.264,0.050,0.487,0.462,0.000,0.000,0.090,0.000,0.910,0.402
0.034,0.368,0.284,0.314,0.055,0.536,0.409,0.000,0.000,0.070,0.010,0.920,0.372
0.027,0.368,0.284,0.321,0.060,0.509,0.431,0.000,0.000,0.110,0.000,0.890,0.392
0.030,0.338,0.314,0.318,0.068,0.441,0.492,0.000,0.000,0.110,0.000,0.890,0.399
0.014,0.334,0.324,0.328,0.033,0.569,0.398,0.000,0.000,0.100,0.000,0.900,0.416
0.020,0.368,0.301,0.311,0.044,0.459,0.496,0.000,0.000,0.100,0.010,0.890,0.456
0.010,0.321,0.321,0.348,0.046,0.519,0.435,0.000,0.000,0.060,0.000,0.940,0.365
0.047,0.321,0.361,0.270,0.081,0.415,0.496,0.007,0.000,0.070,0.000,0.930,0.456
0.034,0.321,0.358,0.287,0.063,0.414,0.523,0.000,0.000,0.080,0.010,0.910,0.375
0.014,0.375,0.274,0.338,0.044,0.473,0.484,0.000,0.000,0.100,0.020,0.880,0.307
0.024,0.311,0.358,0.307,0.057,0.464,0.464,0.014,0.000,0.050,0.010,0.940,0.473
0.034,0.341,0.338,0.287,0.074,0.437,0.481,0.007,0.000,0.060,0.010,0.930,0.456
0.024,0.372,0.318,0.287,0.062,0.500,0.431,0.008,0.000,0.040,0.000,0.960,0.439
0.003,0.304,0.338,0.355,0.010,0.524,0.467,0.000,0.000,0.080,0.000,0.920,0.355
0.027,0.294,0.341,0.338,0.045,0.446,0.509,0.000,0.000,0.110,0.000,0.890,0.378
0.003,0.382,0.324,0.291,0.026,0.435,0.530,0.009,0.000,0.060,0.010,0.930,0.389
0.024,0.334,0.334,0.307,0.081,0.495,0.414,0.009,0.000,0.060,0.000,0.940,0.375
0.010,0.345,0.341,0.304,0.033,0.488,0.480,0.000,0.000,0.050,0.000,0.950,0.416
0.014,0.318,0.361,0.307,0.023,0.461,0.516,0.000,0.000,0.020,0.000,0.980,0.432
0.020,0.338,0.334,0.307,0.039,0.409,0.528,0.024,0.000,0.100,0.010,0.890,0.429
0.017,0.389,0.291,0.304,0.041,0.541,0.410,0.008,0.000,0.090,0.000,0.910,0.412
0.030,0.311,0.358,0.301,0.107,0.434,0.459,0.000,0.000,0.030,0.000,0.970,0.412
0.020,0.328,0.331,0.321,0.041,0.446,0.496,0.017,0.000,0.110,0.020,0.870,0.409
0.024,0.287,0.351,0.338,0.075,0.414,0.511,0.000,0.000,0.080,0.000,0.920,0.449
0.010,0.348,0.365,0.277,0.041,0.479,0.479,0.000,0.000,0.050,0.010,0.940,0.409
0.024,0.314,0.392,0.270,0.062,0.500,0.438,0.000,0.000,0.030,0.000,0.970,0.378
0.017,0.294,0.375,0.314,0.048,0.419,0.532,0.000,0.000,0.050,0.000,0.950,0.419
0.030,0.378,0.297,0.294,0.062,0.513,0.425,0.000,0.000,0.090,0.000,0.910,0.382
0.003,0.304,0.368,0.324,0.017,0.466,0.517,0.000,0.000,0.040,0.010,0.950,0.399
0.010,0.368,0.314,0.307,0.028,0.542,0.430,0.000,0.000,0.040,0.010,0.950,0.361
0.044,0.365,0.311,0.280,0.090,0.497,0.414,0.000,0.000,0.050,0.000,0.950,0.490
0.027,0.324,0.318,0.331,0.067,0.500,0.433,0.000,0.000,0.080,0.000,0.920,0.351
0.017,0.348,0.307,0.328,0.038,0.462,0.491,0.009,0.000,0.060,0.000,0.940,0.358
0.037,0.348,0.321,0.294,0.061,0.492,0.447,0.000,0.000,0.070,0.010,0.920,0.446
0.020,0.334,0.311,0.334,0.042,0.500,0.458,0.000,0.000,0.050,0.000,0.950,0.399
0.014,0.341,0.358,0.287,0.048,0.484,0.468,0.000,0.000,0.060,0.000,0.940,0.419
0.017,0.341,0.314,0.328,0.042,0.487,0.471,0.000,0.000,0.050,0.000,0.950,0.402
0.010,0.341,0.385,0.264,0.030,0.447,0.523,0.000,0.000,0.080,0.000,0.920,0.446
0.010,0.392,0.324,0.274,0.023,0.557,0.420,0.000,0.000,0.050,0.010,0.940,0.443
0.003,0.328,0.331,0.338,0.009,0.491,0.500,0.000,0.000,0.070,0.000,0.930,0.365
0.017,0.345,0.331,0.307,0.048,0.411,0.540,0.000,0.000,0.090,0.000,0.910,0.419
0.044,0.341,0.314,0.301,0.105,0.411,0.484,0.000,0.000,0.150,0.010,0.840,0.419
0.003,0.355,0.331,0.311,0.008,0.525,0.467,0.000,0.000,0.070,0.000,0.930,0.412
0.007,0.338,0.368,0.287,0.049,0.422,0.520,0.010,0.000,0.070,0.000,0.930,0.345
0.037,0.318,0.368,0.277,0.050,0.462,0.487,0.000,0.000,0.100,0.000,0.900,0.402
0.061,0.365,0.301,0.274,0.107,0.496,0.397,0.000,0.000,0.040,0.000,0.960,0.443
0.041,0.318,0.291,0.351,0.078,0.411,0.511,0.000,0.000,0.050,0.000,0.950,0.304
0.000,0.297,0.358,0.345,0.009,0.443,0.530,0.017,0.000,0.040,0.010,0.950,0.389
0.027,0.361,0.345,0.267,0.062,0.504,0.434,0.000,0.000,0.070,0.000,0.930,0.436
0.034,0.372,0.338,0.257,0.068,0.458,0.466,0.008,0.000,0.080,0.000,0.920,0.399
