# Pd_i,Pt_i,Ru_i,Pd_f,Pt_f,Ru_f,Pd_d,Pt_d,Ru_d,fd
0.355,0.328,0.318,0.542,0.448,0.010,0.080,0.020,0.900,0.324
0.274,0.399,0.328,0.432,0.568,0.000,0.090,0.010,0.900,0.274
0.318,0.341,0.341,0.440,0.540,0.020,0.080,0.010,0.910,0.338
0.382,0.321,0.297,0.564,0.436,0.000,0.100,0.030,0.870,0.395
0.328,0.324,0.348,0.409,0.591,0.000,0.090,0.010,0.900,0.314
0.307,0.314,0.378,0.481,0.519,0.000,0.090,0.010,0.900,0.267
0.314,0.341,0.345,0.519,0.481,0.000,0.050,0.020,0.930,0.351
0.318,0.345,0.338,0.505,0.495,0.000,0.110,0.020,0.870,0.321
0.372,0.294,0.334,0.598,0.402,0.000,0.090,0.010,0.900,0.294
0.314,0.375,0.311,0.524,0.476,0.000,0.070,0.020,0.910,0.348
0.331,0.314,0.355,0.533,0.467,0.000,0.090,0.010,0.900,0.253
0.345,0.365,0.291,0.426,0.574,0.000,0.120,0.000,0.880,0.389
0.307,0.331,0.361,0.500,0.500,0.000,0.100,0.010,0.890,0.331
0.314,0.328,0.358,0.454,0.536,0.010,0.090,0.010,0.900,0.328
0.355,0.311,0.334,0.611,0.389,0.000,0.080,0.020,0.900,0.321
0.372,0.304,0.324,0.541,0.447,0.012,0.130,0.010,0.860,0.287
0.311,0.314,0.375,0.453,0.535,0.012,0.070,0.000,0.930,0.291
0.331,0.297,0.372,0.541,0.459,0.000,0.110,0.010,0.880,0.331
0.311,0.341,0.348,0.455,0.545,0.000,0.110,0.000,0.890,0.260
0.348,0.321,0.331,0.473,0.527,0.000,0.110,0.020,0.870,0.314
0.348,0.328,0.324,0.531,0.469,0.000,0.080,0.020,0.900,0.324
0.318,0.378,0.304,0.486,0.514,0.000,0.130,0.000,0.870,0.355
0.328,0.365,0.307,0.485,0.515,0.000,0.090,0.010,0.900,0.348
0.358,0.280,0.361,0.470,0.530,0.000,0.060,0.010,0.930,0.338
0.345,0.355,0.301,0.474,0.526,0.000,0.060,0.010,0.930,0.392
0.338,0.365,0.297,0.446,0.554,0.000,0.080,0.020,0.900,0.341
0.314,0.351,0.334,0.395,0.605,0.000,0.080,0.010,0.910,0.385
0.382,0.345,0.274,0.521,0.479,0.000,0.080,0.010,0.910,0.402
0.355,0.314,0.331,0.481,0.519,0.000,0.080,0.010,0.910,0.358
0.291,0.378,0.331,0.459,0.541,0.000,0.050,0.010,0.940,0.331
0.331,0.321,0.348,0.527,0.473,0.000,0.020,0.000,0.980,0.307
0.341,0.324,0.334,0.490,0.500,0.010,0.060,0.000,0.940,0.324
0.301,0.375,0.324,0.511,0.489,0.000,0.110,0.010,0.880,0.318
0.314,0.341,0.345,0.598,0.402,0.000,0.060,0.010,0.930,0.277
0.368,0.341,0.291,0.548,0.452,0.000,0.100,0.010,0.890,0.351
0.318,0.395,0.287,0.504,0.496,0.000,0.070,0.010,0.920,0.382
0.287,0.392,0.321,0.446,0.554,0.000,0.050,0.000,0.950,0.378
0.348,0.358,0.294,0.504,0.496,0.000,0.070,0.010,0.920,0.389
0.297,0.304,0.399,0.454,0.546,0.000,0.090,0.010,0.900,0.328
0.361,0.351,0.287,0.483,0.517,0.000,0.070,0.010,0.920,0.392
0.355,0.365,0.280,0.510,0.490,0.000,0.080,0.010,0.910,0.351
0.321,0.361,0.318,0.340,0.638,0.021,0.090,0.010,0.900,0.318
0.351,0.318,0.331,0.542,0.458,0.000,0.110,0.010,0.880,0.361
0.348,0.331,0.321,0.471,0.529,0.000,0.060,0.010,0.930,0.351
0.311,0.382,0.307,0.409,0.582,0.009,0.090,0.010,0.900,0.372
0.328,0.318,0.355,0.580,0.409,0.011,0.080,0.000,0.920,0.297
0.389,0.304,0.307,0.556,0.444,0.000,0.080,0.020,0.900,0.365
0.291,0.321,0.389,0.505,0.475,0.020,0.130,0.010,0.860,0.334
0.334,0.334,0.331,0.446,0.545,0.009,0.080,0.000,0.920,0.378
