# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
0.950,0.050,0.000,0.950,0.050,0.000,1.000,0.000,0.000,0.776
0.950,0.000,0.050,0.950,0.000,0.050,0.952,0.000,0.048,0.934
0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.000,0.660
0.900,0.050,0.050,0.895,0.055,0.050,0.951,0.000,0.049,0.737
0.900,0.000,0.100,0.895,0.000,0.105,0.896,0.000,0.104,0.878
0.850,0.150,0.000,0.849,0.150,0.000,1.000,0.000,0.000,0.544
0.850,0.100,0.050,0.849,0.100,0.050,0.944,0.000,0.056,0.616
0.850,0.050,0.100,0.850,0.045,0.105,0.889,0.000,0.111,0.716
0.850,0.000,0.150,0.849,0.000,0.150,0.849,0.000,0.151,0.830
0.800,0.200,0.000,0.796,0.204,0.000,1.000,0.000,0.000,0.474
0.800,0.150,0.050,0.796,0.154,0.050,0.943,0.000,0.057,0.532
0.800,0.100,0.100,0.796,0.099,0.105,0.882,0.000,0.118,0.581
0.800,0.050,0.150,0.796,0.054,0.150,0.846,0.000,0.154,0.647
0.800,0.000,0.200,0.796,0.000,0.204,0.798,0.000,0.202,0.783
0.750,0.250,0.000,0.751,0.249,0.000,1.000,0.000,0.000,0.411
0.750,0.200,0.050,0.751,0.199,0.050,0.935,0.000,0.065,0.469
0.750,0.150,0.100,0.751,0.144,0.105,0.883,0.000,0.117,0.522
0.750,0.100,0.150,0.751,0.099,0.150,0.833,0.000,0.167,0.580
0.750,0.050,0.200,0.751,0.045,0.204,0.791,0.000,0.209,0.638
0.750,0.000,0.250,0.751,0.000,0.249,0.752,0.000,0.247,0.736
0.700,0.300,0.000,0.703,0.297,0.000,1.000,0.000,0.000,0.370
0.700,0.250,0.050,0.703,0.246,0.051,0.932,0.000,0.068,0.407
0.700,0.200,0.100,0.703,0.191,0.105,0.872,0.000,0.128,0.461
0.700,0.150,0.150,0.703,0.146,0.150,0.826,0.000,0.175,0.519
0.700,0.100,0.200,0.703,0.093,0.204,0.764,0.000,0.236,0.569
0.700,0.050,0.250,0.703,0.048,0.249,0.736,0.000,0.264,0.621
0.700,0.000,0.300,0.703,0.000,0.297,0.698,0.000,0.302,0.697
0.650,0.350,0.000,0.656,0.344,0.000,1.000,0.000,0.000,0.309
0.650,0.300,0.050,0.655,0.294,0.050,0.930,0.000,0.070,0.346
0.650,0.250,0.100,0.655,0.239,0.105,0.861,0.000,0.139,0.404
0.650,0.200,0.150,0.655,0.194,0.150,0.831,0.000,0.169,0.400
0.650,0.150,0.200,0.655,0.141,0.204,0.752,0.000,0.248,0.489
0.650,0.100,0.250,0.655,0.096,0.249,0.732,0.000,0.268,0.521
0.650,0.050,0.300,0.655,0.048,0.297,0.686,0.000,0.314,0.561
0.650,0.000,0.350,0.656,0.000,0.344,0.650,0.000,0.349,0.646
0.600,0.400,0.000,0.607,0.393,0.000,1.000,0.000,0.000,0.269
0.600,0.350,0.050,0.607,0.343,0.050,0.922,0.000,0.078,0.299
0.600,0.300,0.100,0.607,0.288,0.105,0.848,0.000,0.152,0.346
0.600,0.250,0.150,0.607,0.243,0.150,0.800,0.000,0.200,0.388
0.600,0.200,0.200,0.607,0.189,0.204,0.762,0.000,0.238,0.419
0.600,0.150,0.250,0.607,0.144,0.249,0.704,0.000,0.296,0.455
0.600,0.100,0.300,0.607,0.097,0.297,0.661,0.000,0.339,0.483
0.600,0.050,0.350,0.607,0.049,0.345,0.633,0.000,0.366,0.565
0.600,0.000,0.400,0.607,0.000,0.393,0.596,0.000,0.404,0.609
0.550,0.450,0.000,0.553,0.447,0.000,1.000,0.000,0.000,0.242
0.550,0.400,0.050,0.553,0.397,0.050,0.918,0.000,0.082,0.269
0.550,0.350,0.100,0.553,0.342,0.105,0.841,0.000,0.159,0.285
0.550,0.300,0.150,0.553,0.297,0.150,0.807,0.000,0.193,0.305
0.550,0.250,0.200,0.553,0.243,0.204,0.738,0.000,0.262,0.364
0.550,0.200,0.250,0.553,0.198,0.249,0.689,0.000,0.311,0.394
0.550,0.150,0.300,0.553,0.151,0.297,0.642,0.000,0.358,0.437
0.550,0.100,0.350,0.553,0.103,0.345,0.616,0.000,0.384,0.478
0.550,0.050,0.400,0.553,0.054,0.393,0.571,0.000,0.429,0.526
0.550,0.000,0.450,0.553,0.000,0.447,0.533,0.000,0.467,0.600
0.500,0.500,0.000,0.498,0.502,0.000,1.000,0.000,0.000,0.214
0.500,0.450,0.050,0.498,0.452,0.050,0.939,0.000,0.061,0.219
0.500,0.400,0.100,0.498,0.397,0.105,0.828,0.000,0.172,0.258
0.500,0.350,0.150,0.498,0.352,0.150,0.792,0.000,0.208,0.278
0.500,0.300,0.200,0.498,0.298,0.204,0.718,0.000,0.282,0.307
0.500,0.250,0.250,0.498,0.253,0.249,0.677,0.000,0.323,0.329
0.500,0.200,0.300,0.498,0.205,0.297,0.639,0.000,0.361,0.380
0.500,0.150,0.350,0.498,0.157,0.345,0.572,0.000,0.428,0.435
0.500,0.100,0.400,0.498,0.109,0.393,0.542,0.000,0.458,0.477
0.500,0.050,0.450,0.498,0.055,0.447,0.503,0.000,0.497,0.508
0.500,0.000,0.500,0.498,0.000,0.502,0.487,0.000,0.513,0.564
0.450,0.550,0.000,0.448,0.552,0.000,1.000,0.000,0.000,0.186
0.450,0.500,0.050,0.448,0.502,0.050,0.896,0.000,0.104,0.206
0.450,0.450,0.100,0.448,0.447,0.105,0.815,0.000,0.185,0.226
0.450,0.400,0.150,0.448,0.402,0.150,0.794,0.000,0.206,0.246
0.450,0.350,0.200,0.448,0.348,0.204,0.713,0.000,0.287,0.270
0.450,0.300,0.250,0.448,0.303,0.249,0.655,0.000,0.345,0.307
0.450,0.250,0.300,0.448,0.255,0.297,0.603,0.000,0.397,0.337
0.450,0.200,0.350,0.448,0.207,0.345,0.560,0.000,0.440,0.377
0.450,0.150,0.400,0.448,0.159,0.393,0.514,0.000,0.486,0.427
0.450,0.100,0.450,0.448,0.104,0.448,0.494,0.000,0.506,0.456
0.450,0.050,0.500,0.448,0.050,0.502,0.464,0.000,0.536,0.486
0.450,0.000,0.550,0.448,0.000,0.552,0.434,0.000,0.566,0.547
0.400,0.600,0.000,0.390,0.610,0.000,1.000,0.000,0.000,0.176
0.400,0.550,0.050,0.390,0.560,0.050,0.883,0.000,0.117,0.173
0.400,0.500,0.100,0.390,0.504,0.105,0.829,0.000,0.171,0.197
0.400,0.450,0.150,0.390,0.459,0.150,0.721,0.000,0.279,0.213
0.400,0.400,0.200,0.390,0.406,0.204,0.665,0.000,0.335,0.225
0.400,0.350,0.250,0.390,0.361,0.249,0.632,0.000,0.368,0.262
0.400,0.300,0.300,0.390,0.313,0.297,0.590,0.000,0.410,0.282
0.400,0.250,0.350,0.390,0.265,0.344,0.512,0.000,0.488,0.312
0.400,0.200,0.400,0.390,0.217,0.393,0.489,0.000,0.511,0.352
0.400,0.150,0.450,0.390,0.163,0.447,0.456,0.000,0.544,0.381
0.400,0.100,0.500,0.390,0.108,0.502,0.424,0.000,0.576,0.428
0.400,0.050,0.550,0.390,0.058,0.552,0.394,0.000,0.606,0.470
0.400,0.000,0.600,0.390,0.000,0.610,0.368,0.000,0.632,0.535
0.350,0.650,0.000,0.337,0.663,0.000,1.000,0.000,0.000,0.150
0.350,0.600,0.050,0.337,0.613,0.050,0.899,0.000,0.101,0.153
0.350,0.550,0.100,0.337,0.558,0.105,0.772,0.000,0.228,0.168
0.350,0.500,0.150,0.337,0.513,0.150,0.750,0.000,0.251,0.173
0.350,0.450,0.200,0.337,0.459,0.204,0.674,0.000,0.326,0.199
0.350,0.400,0.250,0.337,0.414,0.249,0.608,0.000,0.392,0.208
0.350,0.350,0.300,0.337,0.366,0.297,0.527,0.000,0.473,0.226
0.350,0.300,0.350,0.337,0.319,0.345,0.503,0.000,0.497,0.257
0.350,0.250,0.400,0.337,0.270,0.393,0.478,0.000,0.522,0.289
0.350,0.200,0.450,0.337,0.216,0.447,0.425,0.000,0.575,0.322
