# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
0.950,0.050,0.000,0.951,0.049,0.000,1.000,0.000,0.000,0.776
0.950,0.000,0.050,0.951,0.000,0.049,0.952,0.000,0.048,0.934
0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.000,0.660
0.900,0.050,0.050,0.895,0.055,0.050,0.950,0.000,0.050,0.737
0.900,0.000,0.100,0.895,0.000,0.105,0.897,0.000,0.103,0.878
0.850,0.150,0.000,0.850,0.150,0.000,1.000,0.000,0.000,0.544
0.850,0.100,0.050,0.850,0.101,0.049,0.943,0.000,0.057,0.616
0.850,0.050,0.100,0.848,0.046,0.106,0.889,0.000,0.111,0.716
0.850,0.000,0.150,0.850,0.000,0.150,0.849,0.000,0.151,0.830
0.800,0.200,0.000,0.794,0.206,0.000,1.000,0.000,0.000,0.474
0.800,0.150,0.050,0.794,0.155,0.051,0.944,0.000,0.056,0.532
0.800,0.100,0.100,0.794,0.101,0.105,0.881,0.000,0.119,0.581
0.800,0.050,0.150,0.794,0.054,0.152,0.845,0.000,0.155,0.647
0.800,0.000,0.200,0.794,0.000,0.206,0.797,0.000,0.203,0.783
0.750,0.250,0.000,0.752,0.248,0.000,1.000,0.000,0.000,0.411
0.750,0.200,0.050,0.752,0.198,0.050,0.935,0.000,0.065,0.469
0.750,0.150,0.100,0.752,0.143,0.105,0.883,0.000,0.117,0.522
0.750,0.100,0.150,0.752,0.097,0.151,0.834,0.000,0.166,0.580
0.750,0.050,0.200,0.751,0.044,0.205,0.791,0.000,0.209,0.638
0.750,0.000,0.250,0.752,0.000,0.248,0.752,0.000,0.248,0.736
0.700,0.300,0.000,0.705,0.295,0.000,1.000,0.000,0.000,0.370
0.700,0.250,0.050,0.704,0.246,0.050,0.932,0.000,0.068,0.407
0.700,0.200,0.100,0.705,0.189,0.106,0.873,0.000,0.127,0.461
0.700,0.150,0.150,0.705,0.145,0.150,0.826,0.000,0.174,0.519
0.700,0.100,0.200,0.704,0.091,0.205,0.765,0.000,0.235,0.569
0.700,0.050,0.250,0.704,0.049,0.247,0.736,0.000,0.264,0.621
0.700,0.000,0.300,0.705,0.000,0.295,0.698,0.000,0.302,0.697
0.650,0.350,0.000,0.657,0.343,0.000,1.000,0.000,0.000,0.309
0.650,0.300,0.050,0.657,0.294,0.049,0.929,0.000,0.071,0.346
0.650,0.250,0.100,0.655,0.240,0.105,0.861,0.000,0.139,0.404
0.650,0.200,0.150,0.657,0.194,0.149,0.832,0.000,0.168,0.400
0.650,0.150,0.200,0.655,0.139,0.206,0.751,0.000,0.249,0.489
0.650,0.100,0.250,0.657,0.095,0.248,0.733,0.000,0.267,0.521
0.650,0.050,0.300,0.656,0.049,0.295,0.686,0.000,0.314,0.561
0.650,0.000,0.350,0.657,0.000,0.343,0.649,0.000,0.351,0.646
0.600,0.400,0.000,0.606,0.394,0.000,1.000,0.000,0.000,0.269
0.600,0.350,0.050,0.607,0.344,0.049,0.922,0.000,0.078,0.299
0.600,0.300,0.100,0.607,0.288,0.105,0.848,0.000,0.152,0.346
0.600,0.250,0.150,0.607,0.242,0.151,0.800,0.000,0.200,0.388
0.600,0.200,0.200,0.606,0.188,0.206,0.762,0.000,0.238,0.419
0.600,0.150,0.250,0.607,0.145,0.248,0.703,0.000,0.297,0.455
0.600,0.100,0.300,0.606,0.098,0.296,0.662,0.000,0.338,0.483
0.600,0.050,0.350,0.607,0.049,0.344,0.633,0.000,0.367,0.565
