# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
0.950,0.050,0.000,0.950,0.050,0.000,1.000,0.000,0.000,0.776
0.950,0.000,0.050,0.950,0.000,0.050,0.951,0.000,0.049,0.936
0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.000,0.660
0.900,0.050,0.050,0.895,0.055,0.050,0.949,0.000,0.051,0.741
0.900,0.000,0.100,0.895,0.000,0.105,0.894,0.000,0.106,0.890
0.850,0.150,0.000,0.849,0.150,0.000,1.000,0.000,0.000,0.544
0.850,0.100,0.050,0.849,0.100,0.050,0.944,0.000,0.056,0.614
0.850,0.050,0.100,0.850,0.045,0.105,0.885,0.000,0.115,0.727
0.850,0.000,0.150,0.849,0.000,0.150,0.846,0.000,0.155,0.865
0.800,0.200,0.000,0.796,0.204,0.000,1.000,0.000,0.000,0.474
0.800,0.150,0.050,0.796,0.154,0.050,0.942,0.000,0.058,0.531
0.800,0.100,0.100,0.796,0.099,0.105,0.881,0.000,0.119,0.591
0.800,0.050,0.150,0.796,0.054,0.150,0.840,0.000,0.160,0.668
0.800,0.000,0.200,0.796,0.000,0.204,0.788,0.000,0.212,0.835
0.750,0.250,0.000,0.751,0.249,0.000,1.000,0.000,0.000,0.411
0.750,0.200,0.050,0.751,0.199,0.050,0.937,0.000,0.063,0.465
0.750,0.150,0.100,0.751,0.144,0.105,0.882,0.000,0.118,0.520
0.750,0.100,0.150,0.751,0.099,0.150,0.829,0.000,0.171,0.579
0.750,0.050,0.200,0.751,0.045,0.204,0.781,0.000,0.219,0.690
0.750,0.000,0.250,0.751,0.000,0.249,0.743,0.000,0.257,0.828
0.700,0.300,0.000,0.703,0.297,0.000,1.000,0.000,0.000,0.370
0.700,0.250,0.050,0.703,0.246,0.051,0.933,0.000,0.067,0.406
0.700,0.200,0.100,0.703,0.191,0.105,0.864,0.000,0.135,0.466
0.700,0.150,0.150,0.703,0.146,0.150,0.813,0.000,0.187,0.533
0.700,0.100,0.200,0.703,0.093,0.204,0.763,0.000,0.237,0.603
0.700,0.050,0.250,0.703,0.048,0.249,0.717,0.000,0.283,0.686
0.700,0.000,0.300,0.703,0.000,0.297,0.689,0.000,0.311,0.833
0.650,0.350,0.000,0.656,0.344,0.000,1.000,0.000,0.000,0.309
0.650,0.300,0.050,0.655,0.294,0.050,0.923,0.000,0.077,0.344
0.650,0.250,0.100,0.655,0.239,0.105,0.865,0.000,0.135,0.393
0.650,0.200,0.150,0.655,0.194,0.150,0.808,0.000,0.192,0.439
0.650,0.150,0.200,0.655,0.141,0.204,0.756,0.000,0.244,0.507
0.650,0.100,0.250,0.655,0.096,0.249,0.718,0.000,0.282,0.562
0.650,0.050,0.300,0.655,0.048,0.297,0.674,0.000,0.326,0.670
0.650,0.000,0.350,0.656,0.000,0.344,0.637,0.000,0.363,0.847
0.600,0.400,0.000,0.607,0.393,0.000,1.000,0.000,0.000,0.269
0.600,0.350,0.050,0.607,0.343,0.050,0.927,0.000,0.073,0.303
0.600,0.300,0.100,0.607,0.288,0.105,0.845,0.000,0.155,0.346
0.600,0.250,0.150,0.607,0.243,0.150,0.795,0.000,0.205,0.394
0.600,0.200,0.200,0.607,0.189,0.204,0.745,0.000,0.255,0.435
0.600,0.150,0.250,0.607,0.144,0.249,0.704,0.000,0.296,0.497
0.600,0.100,0.300,0.607,0.097,0.297,0.649,0.000,0.350,0.574
0.600,0.050,0.350,0.607,0.049,0.345,0.622,0.000,0.378,0.693
0.600,0.000,0.400,0.607,0.000,0.393,0.585,0.000,0.415,0.856
0.550,0.450,0.000,0.553,0.447,0.000,1.000,0.000,0.000,0.242
0.550,0.400,0.050,0.553,0.397,0.050,0.909,0.000,0.091,0.264
0.550,0.350,0.100,0.553,0.342,0.105,0.843,0.000,0.157,0.295
0.550,0.300,0.150,0.553,0.297,0.150,0.780,0.000,0.219,0.345
0.550,0.250,0.200,0.553,0.243,0.204,0.726,0.000,0.274,0.378
0.550,0.200,0.250,0.553,0.198,0.249,0.670,0.000,0.330,0.422
0.550,0.150,0.300,0.553,0.151,0.297,0.630,0.000,0.370,0.504
0.550,0.100,0.350,0.553,0.103,0.345,0.597,0.000,0.403,0.582
0.550,0.050,0.400,0.553,0.054,0.393,0.560,0.000,0.440,0.688
0.550,0.000,0.450,0.553,0.000,0.447,0.532,0.000,0.467,0.891
0.500,0.500,0.000,0.498,0.502,0.000,1.000,0.000,0.000,0.214
0.500,0.450,0.050,0.498,0.452,0.050,0.923,0.000,0.077,0.231
0.500,0.400,0.100,0.498,0.397,0.105,0.813,0.000,0.187,0.254
0.500,0.350,0.150,0.498,0.352,0.150,0.759,0.000,0.241,0.301
0.500,0.300,0.200,0.498,0.298,0.204,0.708,0.000,0.292,0.330
0.500,0.250,0.250,0.498,0.253,0.249,0.673,0.000,0.327,0.389
0.500,0.200,0.300,0.498,0.205,0.297,0.611,0.000,0.389,0.448
0.500,0.150,0.350,0.498,0.157,0.345,0.570,0.000,0.430,0.507
0.500,0.100,0.400,0.498,0.109,0.393,0.537,0.000,0.463,0.592
0.500,0.050,0.450,0.498,0.055,0.447,0.508,0.000,0.492,0.706
0.500,0.000,0.500,0.498,0.000,0.502,0.484,0.000,0.516,0.927
0.450,0.550,0.000,0.448,0.552,0.000,1.000,0.000,0.000,0.186
0.450,0.500,0.050,0.448,0.502,0.050,0.911,0.000,0.089,0.209
0.450,0.450,0.100,0.448,0.447,0.105,0.827,0.000,0.173,0.242
0.450,0.400,0.150,0.448,0.402,0.150,0.745,0.000,0.255,0.268
0.450,0.350,0.200,0.448,0.348,0.204,0.678,0.000,0.322,0.299
0.450,0.300,0.250,0.448,0.303,0.249,0.625,0.000,0.375,0.347
0.450,0.250,0.300,0.448,0.255,0.297,0.578,0.000,0.422,0.403
0.450,0.200,0.350,0.448,0.207,0.345,0.544,0.000,0.456,0.460
0.450,0.150,0.400,0.448,0.159,0.393,0.527,0.000,0.473,0.527
0.450,0.100,0.450,0.448,0.104,0.448,0.481,0.001,0.518,0.623
0.450,0.050,0.500,0.448,0.050,0.502,0.451,0.001,0.548,0.744
0.450,0.000,0.550,0.448,0.000,0.552,0.436,0.000,0.564,0.951
0.400,0.600,0.000,0.390,0.610,0.000,1.000,0.000,0.000,0.176
0.400,0.550,0.050,0.390,0.560,0.050,0.896,0.000,0.103,0.186
0.400,0.500,0.100,0.390,0.504,0.105,0.802,0.000,0.198,0.214
0.400,0.450,0.150,0.390,0.459,0.150,0.746,0.000,0.254,0.235
0.400,0.400,0.200,0.390,0.406,0.204,0.661,0.000,0.339,0.264
0.400,0.350,0.250,0.390,0.361,0.249,0.591,0.000,0.409,0.307
0.400,0.300,0.300,0.390,0.313,0.297,0.551,0.000,0.449,0.343
0.400,0.250,0.350,0.390,0.265,0.344,0.529,0.000,0.471,0.414
0.400,0.200,0.400,0.390,0.217,0.393,0.483,0.000,0.517,0.451
0.400,0.150,0.450,0.390,0.163,0.447,0.445,0.001,0.555,0.528
0.400,0.100,0.500,0.390,0.108,0.502,0.425,0.001,0.574,0.602
0.400,0.050,0.550,0.390,0.058,0.552,0.407,0.000,0.593,0.737
0.400,0.000,0.600,0.390,0.000,0.610,0.381,0.000,0.619,0.970
0.350,0.650,0.000,0.337,0.663,0.000,1.000,0.000,0.000,0.150
0.350,0.600,0.050,0.337,0.613,0.050,0.879,0.000,0.121,0.150
0.350,0.550,0.100,0.337,0.558,0.105,0.790,0.000,0.210,0.167
0.350,0.500,0.150,0.337,0.513,0.150,0.687,0.000,0.313,0.185
0.350,0.450,0.200,0.337,0.459,0.204,0.648,0.000,0.352,0.234
0.350,0.400,0.250,0.337,0.414,0.249,0.576,0.000,0.424,0.270
0.350,0.350,0.300,0.337,0.366,0.297,0.519,0.000,0.481,0.309
0.350,0.300,0.350,0.337,0.319,0.345,0.486,0.000,0.514,0.328
0.350,0.250,0.400,0.337,0.270,0.393,0.440,0.001,0.559,0.391
0.350,0.200,0.450,0.337,0.216,0.447,0.419,0.001,0.580,0.449
