# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
0.950,0.050,0.000,0.951,0.049,0.000,1.000,0.000,0.000,0.776
0.950,0.000,0.050,0.951,0.000,0.049,0.952,0.000,0.048,0.936
0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.000,0.660
0.900,0.050,0.050,0.895,0.055,0.050,0.948,0.000,0.052,0.741
0.900,0.000,0.100,0.895,0.000,0.105,0.894,0.000,0.106,0.890
0.850,0.150,0.000,0.850,0.150,0.000,1.000,0.000,0.000,0.544
0.850,0.100,0.050,0.850,0.101,0.049,0.943,0.000,0.057,0.614
0.850,0.050,0.100,0.848,0.046,0.106,0.886,0.000,0.114,0.727
0.850,0.000,0.150,0.850,0.000,0.150,0.846,0.000,0.154,0.865
0.800,0.200,0.000,0.794,0.206,0.000,1.000,0.000,0.000,0.474
0.800,0.150,0.050,0.794,0.155,0.051,0.943,0.000,0.057,0.531
0.800,0.100,0.100,0.794,0.101,0.105,0.879,0.000,0.121,0.591
0.800,0.050,0.150,0.794,0.054,0.152,0.839,0.000,0.161,0.668
0.800,0.000,0.200,0.794,0.000,0.206,0.787,0.000,0.213,0.835
0.750,0.250,0.000,0.752,0.248,0.000,1.000,0.000,0.000,0.411
0.750,0.200,0.050,0.752,0.198,0.050,0.937,0.000,0.063,0.465
0.750,0.150,0.100,0.752,0.143,0.105,0.882,0.000,0.118,0.520
0.750,0.100,0.150,0.752,0.097,0.151,0.828,0.000,0.172,0.579
0.750,0.050,0.200,0.751,0.044,0.205,0.780,0.000,0.220,0.690
0.750,0.000,0.250,0.752,0.000,0.248,0.742,0.000,0.258,0.828
0.700,0.300,0.000,0.705,0.295,0.000,1.000,0.000,0.000,0.370
0.700,0.250,0.050,0.704,0.246,0.050,0.934,0.000,0.066,0.406
0.700,0.200,0.100,0.705,0.189,0.106,0.863,0.000,0.137,0.466
0.700,0.150,0.150,0.705,0.145,0.150,0.813,0.000,0.187,0.533
0.700,0.100,0.200,0.704,0.091,0.205,0.762,0.000,0.238,0.603
0.700,0.050,0.250,0.704,0.049,0.247,0.715,0.000,0.285,0.686
0.700,0.000,0.300,0.705,0.000,0.295,0.688,0.000,0.312,0.833
0.650,0.350,0.000,0.657,0.343,0.000,1.000,0.000,0.000,0.309
0.650,0.300,0.050,0.657,0.294,0.049,0.923,0.000,0.077,0.344
0.650,0.250,0.100,0.655,0.240,0.105,0.866,0.000,0.134,0.393
0.650,0.200,0.150,0.657,0.194,0.149,0.807,0.000,0.193,0.439
0.650,0.150,0.200,0.655,0.139,0.206,0.756,0.000,0.244,0.507
0.650,0.100,0.250,0.657,0.095,0.248,0.719,0.000,0.281,0.562
0.650,0.050,0.300,0.656,0.049,0.295,0.674,0.000,0.326,0.670
0.650,0.000,0.350,0.657,0.000,0.343,0.638,0.000,0.362,0.847
0.600,0.400,0.000,0.606,0.394,0.000,1.000,0.000,0.000,0.269
0.600,0.350,0.050,0.607,0.344,0.049,0.926,0.000,0.074,0.303
0.600,0.300,0.100,0.607,0.288,0.105,0.845,0.000,0.155,0.346
0.600,0.250,0.150,0.607,0.242,0.151,0.794,0.000,0.206,0.394
0.600,0.200,0.200,0.606,0.188,0.206,0.745,0.000,0.255,0.435
0.600,0.150,0.250,0.607,0.145,0.248,0.704,0.000,0.296,0.497
0.600,0.100,0.300,0.606,0.098,0.296,0.650,0.000,0.350,0.574
0.600,0.050,0.350,0.607,0.049,0.344,0.621,0.000,0.379,0.693
