# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0.950,0.050,0.000,0.950,0.050,0.000,0.000,0.000,0.000,0.000
0.950,0.000,0.050,0.950,0.000,0.050,0.000,0.000,0.000,0.000
0.900,0.100,0.000,0.895,0.105,0.000,0.799,0.201,0.000,0.102
0.900,0.050,0.050,0.895,0.055,0.050,0.000,0.000,0.000,0.000
0.900,0.000,0.100,0.895,0.000,0.105,0.000,0.000,0.000,0.000
0.850,0.150,0.000,0.849,0.150,0.000,0.812,0.188,0.000,0.559
0.850,0.100,0.050,0.849,0.100,0.050,0.874,0.126,0.000,0.397
0.850,0.050,0.100,0.850,0.045,0.105,0.940,0.060,0.000,0.117
0.850,0.000,0.150,0.849,0.000,0.150,1.000,0.000,0.000,0.105
0.800,0.200,0.000,0.796,0.204,0.000,0.775,0.225,0.000,0.718
0.800,0.150,0.050,0.796,0.154,0.050,0.822,0.178,0.000,0.523
0.800,0.100,0.100,0.796,0.099,0.105,0.866,0.134,0.000,0.436
0.800,0.050,0.150,0.796,0.054,0.150,0.931,0.069,0.000,0.311
0.800,0.000,0.200,0.796,0.000,0.204,1.000,0.000,0.000,0.231
0.750,0.250,0.000,0.751,0.249,0.000,0.730,0.270,0.000,0.828
0.750,0.200,0.050,0.751,0.199,0.050,0.771,0.229,0.000,0.609
0.750,0.150,0.100,0.751,0.144,0.105,0.816,0.184,0.000,0.501
0.750,0.100,0.150,0.751,0.099,0.150,0.866,0.134,0.000,0.412
0.750,0.050,0.200,0.751,0.045,0.204,0.931,0.069,0.000,0.336
0.750,0.000,0.250,0.751,0.000,0.249,1.000,0.000,0.000,0.319
0.700,0.300,0.000,0.703,0.297,0.000,0.685,0.315,0.000,0.892
0.700,0.250,0.050,0.703,0.246,0.051,0.716,0.284,0.000,0.667
0.700,0.200,0.100,0.703,0.191,0.105,0.768,0.232,0.000,0.550
0.700,0.150,0.150,0.703,0.146,0.150,0.823,0.177,0.000,0.453
0.700,0.100,0.200,0.703,0.093,0.204,0.884,0.116,0.000,0.381
0.700,0.050,0.250,0.703,0.048,0.249,0.918,0.082,0.000,0.345
0.700,0.000,0.300,0.703,0.000,0.297,1.000,0.000,0.000,0.303
0.650,0.350,0.000,0.656,0.344,0.000,0.642,0.358,0.000,0.935
0.650,0.300,0.050,0.655,0.294,0.050,0.665,0.335,0.000,0.703
0.650,0.250,0.100,0.655,0.239,0.105,0.718,0.282,0.000,0.590
0.650,0.200,0.150,0.655,0.194,0.150,0.760,0.240,0.000,0.501
0.650,0.150,0.200,0.655,0.141,0.204,0.810,0.190,0.000,0.414
0.650,0.100,0.250,0.655,0.096,0.249,0.851,0.149,0.000,0.356
0.650,0.050,0.300,0.655,0.048,0.297,0.915,0.085,0.000,0.322
0.650,0.000,0.350,0.656,0.000,0.344,1.000,0.000,0.000,0.265
0.600,0.400,0.000,0.607,0.393,0.000,0.599,0.401,0.000,0.969
0.600,0.350,0.050,0.607,0.343,0.050,0.625,0.375,0.000,0.731
0.600,0.300,0.100,0.607,0.288,0.105,0.666,0.334,0.000,0.617
0.600,0.250,0.150,0.607,0.243,0.150,0.707,0.293,0.000,0.521
0.600,0.200,0.200,0.607,0.189,0.204,0.754,0.246,0.000,0.444
0.600,0.150,0.250,0.607,0.144,0.249,0.798,0.202,0.000,0.380
0.600,0.100,0.300,0.607,0.097,0.297,0.845,0.155,0.000,0.329
0.600,0.050,0.350,0.607,0.049,0.345,0.930,0.070,0.000,0.283
0.600,0.000,0.400,0.607,0.000,0.393,1.000,0.000,0.000,0.249
0.550,0.450,0.000,0.553,0.447,0.000,0.545,0.455,0.000,0.975
0.550,0.400,0.050,0.553,0.397,0.050,0.571,0.429,0.000,0.746
0.550,0.350,0.100,0.553,0.342,0.105,0.606,0.394,0.000,0.632
0.550,0.300,0.150,0.553,0.297,0.150,0.646,0.354,0.000,0.530
0.550,0.250,0.200,0.553,0.243,0.204,0.688,0.312,0.000,0.445
0.550,0.200,0.250,0.553,0.198,0.249,0.727,0.273,0.000,0.395
0.550,0.150,0.300,0.553,0.151,0.297,0.768,0.231,0.001,0.352
0.550,0.100,0.350,0.553,0.103,0.345,0.841,0.159,0.000,0.300
0.550,0.050,0.400,0.553,0.054,0.393,0.914,0.085,0.001,0.247
0.550,0.000,0.450,0.553,0.000,0.447,0.999,0.000,0.001,0.237
0.500,0.500,0.000,0.498,0.502,0.000,0.494,0.506,0.000,0.989
0.500,0.450,0.050,0.498,0.452,0.050,0.517,0.483,0.000,0.762
0.500,0.400,0.100,0.498,0.397,0.105,0.548,0.452,0.000,0.645
0.500,0.350,0.150,0.498,0.352,0.150,0.584,0.416,0.000,0.540
0.500,0.300,0.200,0.498,0.298,0.204,0.620,0.380,0.000,0.457
0.500,0.250,0.250,0.498,0.253,0.249,0.647,0.353,0.000,0.407
0.500,0.200,0.300,0.498,0.205,0.297,0.692,0.308,0.000,0.360
0.500,0.150,0.350,0.498,0.157,0.345,0.758,0.241,0.001,0.320
0.500,0.100,0.400,0.498,0.109,0.393,0.816,0.181,0.003,0.261
0.500,0.050,0.450,0.498,0.055,0.447,0.909,0.091,0.000,0.244
0.500,0.000,0.500,0.498,0.000,0.502,1.000,0.000,0.000,0.190
0.450,0.550,0.000,0.448,0.552,0.000,0.446,0.554,0.000,0.996
0.450,0.500,0.050,0.448,0.502,0.050,0.470,0.530,0.000,0.771
0.450,0.450,0.100,0.448,0.447,0.105,0.493,0.507,0.000,0.652
0.450,0.400,0.150,0.448,0.402,0.150,0.523,0.477,0.000,0.548
0.450,0.350,0.200,0.448,0.348,0.204,0.562,0.438,0.000,0.467
0.450,0.300,0.250,0.448,0.303,0.249,0.588,0.412,0.000,0.410
0.450,0.250,0.300,0.448,0.255,0.297,0.622,0.378,0.000,0.370
0.450,0.200,0.350,0.448,0.207,0.345,0.696,0.301,0.003,0.324
0.450,0.150,0.400,0.448,0.159,0.393,0.747,0.246,0.007,0.270
0.450,0.100,0.450,0.448,0.104,0.448,0.813,0.179,0.008,0.239
0.450,0.050,0.500,0.448,0.050,0.502,0.889,0.104,0.007,0.189
0.450,0.000,0.550,0.448,0.000,0.552,0.993,0.000,0.007,0.154
0.400,0.600,0.000,0.390,0.610,0.000,0.389,0.611,0.000,0.997
0.400,0.550,0.050,0.390,0.560,0.050,0.409,0.591,0.000,0.774
0.400,0.500,0.100,0.390,0.504,0.105,0.433,0.567,0.000,0.653
0.400,0.450,0.150,0.390,0.459,0.150,0.463,0.537,0.000,0.548
0.400,0.400,0.200,0.390,0.406,0.204,0.482,0.518,0.000,0.458
