# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0.950,0.050,0.000,0.951,0.049,0.000,0.000,0.000,0.000,0.000
0.950,0.000,0.050,0.951,0.000,0.049,0.000,0.000,0.000,0.000
0.900,0.100,0.000,0.895,0.105,0.000,0.239,0.061,0.000,0.102
0.900,0.050,0.050,0.895,0.055,0.050,0.000,0.000,0.000,0.000
0.900,0.000,0.100,0.895,0.000,0.105,0.000,0.000,0.000,0.000
0.850,0.150,0.000,0.850,0.150,0.000,0.812,0.188,0.000,0.559
0.850,0.100,0.050,0.850,0.101,0.049,0.875,0.125,0.000,0.397
0.850,0.050,0.100,0.848,0.046,0.106,0.375,0.025,0.000,0.117
0.850,0.000,0.150,0.850,0.000,0.150,0.400,0.000,0.000,0.105
0.800,0.200,0.000,0.794,0.206,0.000,0.775,0.225,0.000,0.718
0.800,0.150,0.050,0.794,0.155,0.051,0.822,0.178,0.000,0.523
0.800,0.100,0.100,0.794,0.101,0.105,0.865,0.135,0.000,0.436
0.800,0.050,0.150,0.794,0.054,0.152,0.932,0.068,0.000,0.311
0.800,0.000,0.200,0.794,0.000,0.206,1.000,0.000,0.000,0.231
0.750,0.250,0.000,0.752,0.248,0.000,0.730,0.270,0.000,0.828
0.750,0.200,0.050,0.752,0.198,0.050,0.771,0.229,0.000,0.609
0.750,0.150,0.100,0.752,0.143,0.105,0.814,0.186,0.000,0.501
0.750,0.100,0.150,0.752,0.097,0.151,0.866,0.134,0.000,0.412
0.750,0.050,0.200,0.751,0.044,0.205,0.930,0.070,0.000,0.336
0.750,0.000,0.250,0.752,0.000,0.248,1.000,0.000,0.000,0.319
0.700,0.300,0.000,0.705,0.295,0.000,0.687,0.313,0.000,0.892
0.700,0.250,0.050,0.704,0.246,0.050,0.715,0.285,0.000,0.667
0.700,0.200,0.100,0.705,0.189,0.106,0.766,0.234,0.000,0.550
0.700,0.150,0.150,0.705,0.145,0.150,0.822,0.178,0.000,0.453
0.700,0.100,0.200,0.704,0.091,0.205,0.884,0.116,0.000,0.381
0.700,0.050,0.250,0.704,0.049,0.247,0.921,0.079,0.000,0.345
0.700,0.000,0.300,0.705,0.000,0.295,1.000,0.000,0.000,0.303
0.650,0.350,0.000,0.657,0.343,0.000,0.642,0.358,0.000,0.935
0.650,0.300,0.050,0.657,0.294,0.049,0.665,0.335,0.000,0.703
0.650,0.250,0.100,0.655,0.240,0.105,0.719,0.281,0.000,0.590
0.650,0.200,0.150,0.657,0.194,0.149,0.761,0.239,0.000,0.501
0.650,0.150,0.200,0.655,0.139,0.206,0.810,0.190,0.000,0.414
0.650,0.100,0.250,0.657,0.095,0.248,0.851,0.149,0.000,0.356
0.650,0.050,0.300,0.656,0.049,0.295,0.914,0.086,0.000,0.322
0.650,0.000,0.350,0.657,0.000,0.343,1.000,0.000,0.000,0.265
0.600,0.400,0.000,0.606,0.394,0.000,0.599,0.401,0.000,0.969
0.600,0.350,0.050,0.607,0.344,0.049,0.624,0.376,0.000,0.731
0.600,0.300,0.100,0.607,0.288,0.105,0.665,0.335,0.000,0.617
0.600,0.250,0.150,0.607,0.242,0.151,0.708,0.292,0.000,0.521
0.600,0.200,0.200,0.606,0.188,0.206,0.752,0.248,0.000,0.444
0.600,0.150,0.250,0.607,0.145,0.248,0.797,0.203,0.000,0.380
0.600,0.100,0.300,0.606,0.098,0.296,0.844,0.156,0.000,0.329
0.600,0.050,0.350,0.607,0.049,0.344,0.930,0.070,0.000,0.283
0.600,0.000,0.400,0.606,0.000,0.394,1.000,0.000,0.000,0.249
0.550,0.450,0.000,0.551,0.449,0.000,0.543,0.457,0.000,0.975
0.550,0.400,0.050,0.552,0.397,0.051,0.572,0.428,0.000,0.746
0.550,0.350,0.100,0.552,0.342,0.106,0.607,0.393,0.000,0.632
0.550,0.300,0.150,0.552,0.297,0.151,0.648,0.352,0.000,0.530
0.550,0.250,0.200,0.551,0.245,0.204,0.687,0.313,0.000,0.445
0.550,0.200,0.250,0.554,0.198,0.248,0.728,0.272,0.000,0.395
0.550,0.150,0.300,0.552,0.150,0.298,0.767,0.232,0.001,0.352
0.550,0.100,0.350,0.552,0.104,0.344,0.840,0.160,0.000,0.300
0.550,0.050,0.400,0.552,0.054,0.394,0.912,0.087,0.001,0.247
0.550,0.000,0.450,0.551,0.000,0.449,0.999,0.000,0.001,0.237
0.500,0.500,0.000,0.497,0.503,0.000,0.494,0.506,0.000,0.989
0.500,0.450,0.050,0.497,0.453,0.050,0.514,0.486,0.000,0.762
0.500,0.400,0.100,0.497,0.398,0.105,0.548,0.452,0.000,0.645
0.500,0.350,0.150,0.497,0.352,0.151,0.585,0.415,0.000,0.540
0.500,0.300,0.200,0.497,0.297,0.206,0.619,0.381,0.000,0.457
0.500,0.250,0.250,0.497,0.254,0.249,0.647,0.353,0.000,0.407
0.500,0.200,0.300,0.497,0.206,0.297,0.693,0.307,0.000,0.360
0.500,0.150,0.350,0.497,0.159,0.344,0.759,0.240,0.001,0.320
0.500,0.100,0.400,0.497,0.109,0.394,0.818,0.179,0.003,0.261
0.500,0.050,0.450,0.497,0.055,0.448,0.909,0.091,0.000,0.244
0.500,0.000,0.500,0.497,0.000,0.503,1.000,0.000,0.000,0.190
0.450,0.550,0.000,0.450,0.550,0.000,0.448,0.552,0.000,0.996
0.450,0.500,0.050,0.448,0.502,0.050,0.470,0.530,0.000,0.771
0.450,0.450,0.100,0.449,0.446,0.105,0.494,0.506,0.000,0.652
0.450,0.400,0.150,0.448,0.402,0.150,0.522,0.478,0.000,0.548
0.450,0.350,0.200,0.448,0.346,0.206,0.563,0.437,0.000,0.467
0.450,0.300,0.250,0.449,0.303,0.248,0.589,0.411,0.000,0.410
0.450,0.250,0.300,0.449,0.255,0.296,0.623,0.377,0.000,0.370
0.450,0.200,0.350,0.449,0.207,0.344,0.697,0.300,0.003,0.324
0.450,0.150,0.400,0.448,0.159,0.393,0.747,0.246,0.007,0.270
0.450,0.100,0.450,0.448,0.104,0.448,0.813,0.181,0.006,0.239
0.450,0.050,0.500,0.448,0.049,0.503,0.890,0.103,0.007,0.189
0.450,0.000,0.550,0.450,0.000,0.550,0.993,0.000,0.007,0.154
0.400,0.600,0.000,0.392,0.608,0.000,0.391,0.609,0.000,0.997
0.400,0.550,0.050,0.392,0.559,0.049,0.411,0.589,0.000,0.774
0.400,0.500,0.100,0.390,0.505,0.105,0.434,0.566,0.000,0.653
0.400,0.450,0.150,0.392,0.458,0.150,0.464,0.536,0.000,0.548
0.400,0.400,0.200,0.390,0.404,0.206,0.481,0.519,0.000,0.458
0.400,0.350,0.250,0.391,0.361,0.248,0.498,0.502,0.000,0.419
0.400,0.300,0.300,0.390,0.314,0.296,0.565,0.435,0.000,0.383
0.400,0.250,0.350,0.392,0.265,0.343,0.606,0.390,0.004,0.323
0.400,0.200,0.400,0.392,0.215,0.393,0.663,0.333,0.004,0.267
0.400,0.150,0.450,0.389,0.162,0.449,0.724,0.263,0.013,0.241
0.400,0.100,0.500,0.391,0.106,0.503,0.792,0.189,0.019,0.194
0.400,0.050,0.550,0.391,0.059,0.550,0.873,0.116,0.011,0.152
0.400,0.000,0.600,0.392,0.000,0.608,0.976,0.000,0.024,0.140
0.350,0.650,0.000,0.337,0.663,0.000,0.337,0.663,0.000,0.999
0.350,0.600,0.050,0.337,0.614,0.049,0.355,0.645,0.000,0.773
0.350,0.550,0.100,0.338,0.557,0.105,0.368,0.632,0.000,0.653
0.350,0.500,0.150,0.338,0.511,0.151,0.399,0.601,0.000,0.547
0.350,0.450,0.200,0.337,0.458,0.205,0.418,0.582,0.000,0.466
0.350,0.400,0.250,0.337,0.415,0.248,0.432,0.567,0.001,0.422
0.350,0.350,0.300,0.338,0.367,0.295,0.483,0.514,0.003,0.373
0.350,0.300,0.350,0.337,0.319,0.344,0.509,0.480,0.011,0.328
0.350,0.250,0.400,0.337,0.270,0.393,0.558,0.428,0.014,0.285
0.350,0.200,0.450,0.337,0.216,0.447,0.630,0.355,0.015,0.248
0.350,0.150,0.500,0.337,0.160,0.503,0.676,0.304,0.020,0.204
0.350,0.100,0.550,0.337,0.112,0.551,0.769,0.221,0.010,0.172
0.350,0.050,0.600,0.337,0.055,0.608,0.860,0.123,0.017,0.134
0.350,0.000,0.650,0.337,0.000,0.663,0.959,0.000,0.041,0.104
0.300,0.700,0.000,0.288,0.712,0.000,0.288,0.712,0.000,1.000
0.300,0.650,0.050,0.288,0.662,0.050,0.306,0.694,0.000,0.775
0.300,0.600,0.100,0.288,0.606,0.106,0.317,0.683,0.000,0.656
0.300,0.550,0.150,0.289,0.560,0.151,0.342,0.658,0.000,0.547
0.300,0.500,0.200,0.289,0.508,0.203,0.354,0.646,0.000,0.468
0.300,0.450,0.250,0.290,0.462,0.248,0.376,0.621,0.003,0.423
0.300,0.400,0.300,0.288,0.417,0.295,0.398,0.597,0.005,0.388
0.300,0.350,0.350,0.289,0.368,0.343,0.432,0.559,0.009,0.339
0.300,0.300,0.400,0.288,0.318,0.394,0.510,0.476,0.014,0.286
0.300,0.250,0.450,0.287,0.265,0.448,0.539,0.442,0.019,0.260
0.300,0.200,0.500,0.288,0.209,0.503,0.568,0.394,0.038,0.215
0.300,0.150,0.550,0.290,0.160,0.550,0.619,0.326,0.055,0.184
0.300,0.100,0.600,0.289,0.102,0.609,0.747,0.201,0.052,0.152
0.300,0.050,0.650,0.290,0.047,0.663,0.826,0.119,0.055,0.120
0.300,0.000,0.700,0.288,0.000,0.712,0.920,0.000,0.080,0.080
0.250,0.750,0.000,0.233,0.767,0.000,0.233,0.767,0.000,1.000
0.250,0.700,0.050,0.233,0.717,0.050,0.242,0.758,0.000,0.775
0.250,0.650,0.100,0.233,0.662,0.105,0.254,0.746,0.000,0.657
0.250,0.600,0.150,0.233,0.617,0.150,0.275,0.725,0.000,0.547
0.250,0.550,0.200,0.233,0.562,0.205,0.291,0.709,0.000,0.467
0.250,0.500,0.250,0.233,0.520,0.247,0.300,0.698,0.002,0.428
0.250,0.450,0.300,0.233,0.471,0.296,0.334,0.662,0.004,0.391
0.250,0.400,0.350,0.233,0.424,0.343,0.375,0.616,0.009,0.321
0.250,0.350,0.400,0.233,0.374,0.393,0.395,0.576,0.029,0.301
0.250,0.300,0.450,0.233,0.320,0.447,0.436,0.530,0.034,0.267
0.250,0.250,0.500,0.232,0.265,0.503,0.466,0.493,0.041,0.218
0.250,0.200,0.550,0.233,0.215,0.552,0.532,0.418,0.050,0.184
0.250,0.150,0.600,0.233,0.159,0.608,0.584,0.296,0.120,0.164
0.250,0.100,0.650,0.233,0.105,0.662,0.615,0.263,0.122,0.117
0.250,0.050,0.700,0.233,0.056,0.711,0.726,0.169,0.105,0.087
0.250,0.000,0.750,0.233,0.000,0.767,0.789,0.000,0.211,0.059
0.200,0.800,0.000,0.189,0.811,0.000,0.189,0.811,0.000,1.000
0.200,0.750,0.050,0.189,0.759,0.052,0.199,0.801,0.000,0.775
0.200,0.700,0.100,0.188,0.706,0.106,0.208,0.792,0.000,0.658
0.200,0.650,0.150,0.189,0.660,0.151,0.226,0.774,0.000,0.544
0.200,0.600,0.200,0.188,0.607,0.205,0.222,0.778,0.000,0.470
0.200,0.550,0.250,0.187,0.565,0.248,0.253,0.745,0.002,0.422
0.200,0.500,0.300,0.189,0.514,0.297,0.262,0.732,0.006,0.377
0.200,0.450,0.350,0.188,0.467,0.345,0.303,0.682,0.015,0.330
0.200,0.400,0.400,0.188,0.418,0.394,0.316,0.650,0.034,0.285
0.200,0.350,0.450,0.188,0.364,0.448,0.351,0.604,0.045,0.261
0.200,0.300,0.500,0.187,0.310,0.503,0.384,0.539,0.077,0.221
0.200,0.250,0.550,0.188,0.258,0.554,0.385,0.510,0.105,0.214
0.200,0.200,0.600,0.188,0.201,0.611,0.415,0.410,0.175,0.184
0.200,0.150,0.650,0.188,0.150,0.662,0.426,0.386,0.188,0.140
0.200,0.100,0.700,0.189,0.099,0.712,0.539,0.238,0.223,0.102
0.200,0.050,0.750,0.189,0.044,0.767,0.599,0.144,0.257,0.074
0.200,0.000,0.800,0.189,0.000,0.811,0.709,0.000,0.291,0.052
0.150,0.850,0.000,0.146,0.854,0.000,0.146,0.854,0.000,1.000
0.150,0.800,0.050,0.146,0.805,0.049,0.150,0.850,0.000,0.775
0.150,0.750,0.100,0.145,0.750,0.105,0.157,0.843,0.000,0.658
0.150,0.700,0.150,0.144,0.707,0.149,0.171,0.829,0.000,0.544
0.150,0.650,0.200,0.143,0.651,0.206,0.175,0.825,0.000,0.473
0.150,0.600,0.250,0.147,0.605,0.248,0.189,0.810,0.001,0.420
0.150,0.550,0.300,0.147,0.558,0.295,0.200,0.794,0.006,0.364
0.150,0.500,0.350,0.146,0.511,0.343,0.224,0.753,0.023,0.337
0.150,0.450,0.400,0.143,0.464,0.393,0.258,0.711,0.031,0.297
0.150,0.400,0.450,0.143,0.408,0.449,0.262,0.669,0.069,0.274
0.150,0.350,0.500,0.145,0.352,0.503,0.265,0.635,0.100,0.223
0.150,0.300,0.550,0.145,0.304,0.551,0.291,0.580,0.129,0.208
0.150,0.250,0.600,0.146,0.246,0.608,0.311,0.503,0.186,0.193
0.150,0.200,0.650,0.145,0.193,0.662,0.328,0.411,0.261,0.155
0.150,0.150,0.700,0.146,0.142,0.712,0.356,0.333,0.311,0.132
0.150,0.100,0.750,0.146,0.087,0.767,0.381,0.213,0.406,0.108
0.150,0.050,0.800,0.143,0.046,0.811,0.458,0.131,0.411,0.059
0.150,0.000,0.850,0.146,0.000,0.854,0.484,0.000,0.416,0.021
0.100,0.900,0.000,0.098,0.902,0.000,0.098,0.902,0.000,1.000
0.100,0.850,0.050,0.098,0.852,0.050,0.103,0.897,0.000,0.775
0.100,0.800,0.100,0.099,0.796,0.105,0.108,0.892,0.000,0.658
0.100,0.750,0.150,0.098,0.752,0.150,0.122,0.878,0.000,0.545
0.100,0.700,0.200,0.098,0.698,0.204,0.123,0.877,0.000,0.479
0.100,0.650,0.250,0.099,0.654,0.247,0.133,0.866,0.001,0.413
0.100,0.600,0.300,0.099,0.606,0.295,0.134,0.859,0.007,0.365
0.100,0.550,0.350,0.099,0.558,0.343,0.145,0.825,0.030,0.340
0.100,0.500,0.400,0.098,0.508,0.394,0.160,0.792,0.048,0.302
0.100,0.450,0.450,0.100,0.451,0.449,0.150,0.742,0.108,0.277
0.100,0.400,0.500,0.098,0.399,0.503,0.177,0.685,0.138,0.253
0.100,0.350,0.550,0.099,0.350,0.551,0.171,0.629,0.200,0.239
0.100,0.300,0.600,0.099,0.292,0.609,0.182,0.557,0.261,0.207
0.100,0.250,0.650,0.099,0.239,0.662,0.197,0.462,0.341,0.173
0.100,0.200,0.700,0.100,0.189,0.711,0.197,0.354,0.449,0.145
0.100,0.150,0.750,0.098,0.135,0.767,0.187,0.305,0.508,0.142
0.100,0.100,0.800,0.099,0.090,0.811,0.229,0.214,0.557,0.098
0.100,0.050,0.850,0.099,0.047,0.854,0.256,0.105,0.639,0.060
0.100,0.000,0.900,0.098,0.000,0.902,0.058,0.000,0.142,0.003
0.050,0.950,0.000,0.044,0.956,0.000,0.044,0.956,0.000,1.000
0.050,0.900,0.050,0.044,0.907,0.049,0.048,0.952,0.000,0.776
