# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.90,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.90,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.90,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.80,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.00,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.20,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.10,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.10,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.10,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.60,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.40,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.30,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.30,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.20,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.10,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.10,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.10,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.10,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.00,0.50,0.00,0.47,0.00,0.53,0.00,0.43,0.00,0.57,0.00,0.6183
0.50,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.0000
0.50,0.00,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.00,0.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.00,0.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.50,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.40,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.30,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.30,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.20,0.40,0.00,0.39,0.16,0.45,0.00,0.36,0.19,0.45,0.00,0.6250
0.40,0.20,0.30,0.10,0.34,0.28,0.38,0.00,0.35,0.20,0.39,0.07,0.3117
0.40,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.20,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
