# Ag_i,Pd_i,Ru_i,Ag_f,Pd_f,Ru_f
0.410282,0.114830,0.474888,0.755868,0.239437,0.004695
0.390848,0.123147,0.486005,0.783133,0.216867,0.000000
0.371412,0.131465,0.497123,0.744681,0.255319,0.000000
0.351978,0.139782,0.508240,0.692771,0.307229,0.000000
0.332543,0.148099,0.519358,0.672956,0.320755,0.006289
0.313109,0.156416,0.530475,0.624204,0.375796,0.000000
0.293674,0.164734,0.541592,0.670968,0.322581,0.006451
0.274240,0.173051,0.552709,0.631250,0.362500,0.006250
0.254806,0.181368,0.563826,0.526316,0.447368,0.026316
0.235372,0.189685,0.574943,0.474683,0.493671,0.031646
0.215938,0.198002,0.586060,0.539474,0.427631,0.032895
0.426047,0.137243,0.436710,0.767327,0.232673,0.000000
0.406612,0.145560,0.447828,0.726804,0.273196,0.000000
0.387177,0.153877,0.458946,0.735000,0.265000,0.000000
0.367742,0.162195,0.470063,0.666667,0.333333,0.000000
0.348307,0.170512,0.481181,0.672043,0.322581,0.005376
0.328873,0.178829,0.492298,0.644578,0.355422,0.000000
0.309439,0.187146,0.503415,0.649123,0.350877,0.000000
0.290004,0.195463,0.514533,0.580645,0.413979,0.005376
0.270570,0.203780,0.525650,0.580247,0.407407,0.012346
0.251136,0.212097,0.536767,0.530612,0.435374,0.034014
0.231702,0.220414,0.547884,0.562874,0.437126,0.000000
0.212268,0.228731,0.559001,0.525316,0.436709,0.037975
0.192834,0.237048,0.570118,0.462687,0.470149,0.067164
0.441811,0.159656,0.398533,0.669856,0.330144,0.000000
0.422376,0.167973,0.409651,0.732323,0.267677,0.000000
0.402941,0.176290,0.420769,0.741935,0.258065,0.000000
0.383506,0.184608,0.431886,0.657609,0.342391,0.000000
0.364071,0.192925,0.443004,0.680556,0.319444,0.000000
0.344637,0.201242,0.454121,0.551515,0.442424,0.006061
0.325202,0.209559,0.465239,0.589744,0.400000,0.010256
0.305768,0.217876,0.476356,0.573864,0.420454,0.005682
0.286334,0.226193,0.487473,0.534247,0.458904,0.006849
0.266900,0.234509,0.498591,0.513514,0.470270,0.016216
0.247466,0.242826,0.509708,0.480226,0.497175,0.022599
0.228032,0.251143,0.520825,0.465517,0.517242,0.017241
0.208598,0.259460,0.531942,0.391813,0.584795,0.023392
0.189164,0.267777,0.543059,0.418750,0.550000,0.031250
0.169731,0.276093,0.554176,0.298701,0.675325,0.025974
0.457575,0.182069,0.360356,0.735849,0.259434,0.004717
0.438140,0.190386,0.371474,0.742574,0.257426,0.000000
0.418705,0.198703,0.382592,0.692641,0.307359,0.000000
0.399270,0.207020,0.393710,0.565420,0.425234,0.009346
0.379836,0.215337,0.404827,0.642857,0.357143,0.000000
0.360401,0.223654,0.415945,0.563380,0.436620,0.000000
0.340967,0.231971,0.427062,0.561576,0.428572,0.009852
0.321532,0.240288,0.438180,0.491892,0.502703,0.005405
0.302098,0.248605,0.449297,0.583784,0.416216,0.000000
0.282664,0.256922,0.460414,0.470270,0.524324,0.005406
0.263229,0.265239,0.471532,0.441989,0.552486,0.005525
0.243796,0.273555,0.482649,0.485549,0.502890,0.011561
0.224362,0.281872,0.493766,0.476190,0.523810,0.000000
0.204928,0.290189,0.504883,0.393549,0.593548,0.012903
0.185495,0.298505,0.516000,0.362573,0.608187,0.029240
0.166061,0.306822,0.527117,0.331395,0.627907,0.040698
0.146628,0.315138,0.538234,0.265060,0.698795,0.036145
0.473339,0.204482,0.322179,0.768908,0.231092,0.000000
0.453904,0.212799,0.333297,0.633858,0.366142,0.000000
0.434469,0.221116,0.344415,0.642857,0.357143,0.000000
0.415034,0.229433,0.355533,0.618852,0.381148,0.000000
0.395600,0.237750,0.366650,0.638298,0.361702,0.000000
0.376165,0.246067,0.377768,0.597285,0.402715,0.000000
0.356730,0.254384,0.388886,0.554404,0.445596,0.000000
0.337296,0.262701,0.400003,0.502242,0.493274,0.004484
0.317862,0.271017,0.411121,0.500000,0.500000,0.000000
0.298428,0.279334,0.422238,0.527919,0.467005,0.005076
0.278993,0.287651,0.433356,0.429245,0.566038,0.004717
0.259559,0.295968,0.444473,0.390863,0.598985,0.010152
0.240126,0.304284,0.455590,0.520202,0.479798,0.000000
0.220692,0.312601,0.466707,0.416667,0.578125,0.005208
0.201258,0.320917,0.477825,0.345029,0.654971,0.000000
0.181825,0.329234,0.488941,0.363158,0.626316,0.010526
0.162392,0.337550,0.500058,0.301136,0.676137,0.022727
0.142958,0.345867,0.511175,0.325581,0.639535,0.034884
0.123525,0.354183,0.522292,0.250000,0.706522,0.043478
0.469668,0.235212,0.295120,0.675768,0.324232,0.000000
0.450233,0.243529,0.306238,0.684000,0.316000,0.000000
0.430798,0.251846,0.317356,0.617886,0.382114,0.000000
0.411364,0.260162,0.328474,0.586345,0.413655,0.000000
0.391929,0.268479,0.339592,0.540773,0.459227,0.000000
0.372495,0.276796,0.350709,0.567347,0.428571,0.004082
0.353060,0.285113,0.361827,0.544041,0.455959,0.000000
0.333625,0.293430,0.372945,0.550926,0.449074,0.000000
0.314191,0.301747,0.384062,0.581897,0.418103,0.000000
0.294757,0.310063,0.395180,0.470320,0.529680,0.000000
0.275323,0.318380,0.406297,0.471963,0.528037,0.000000
0.255890,0.326696,0.417414,0.441026,0.558974,0.000000
0.236455,0.335013,0.428532,0.433155,0.561497,0.005348
0.217022,0.343329,0.439649,0.444444,0.555556,0.000000
0.197589,0.351645,0.450766,0.291667,0.694444,0.013889
0.178155,0.359962,0.461883,0.346535,0.643564,0.009901
0.158722,0.368278,0.473000,0.256685,0.721925,0.021390
0.139289,0.376594,0.484117,0.299492,0.685279,0.015229
0.119856,0.384910,0.495234,0.260417,0.713541,0.026042
0.485433,0.257624,0.256943,0.679577,0.320423,0.000000
0.465998,0.265941,0.268061,0.635688,0.364312,0.000000
