area,Ag,Pt,Ru
1.000000000000000000e+00,6.038837890037530798e+00,5.939883432632652216e+01,3.456232778363595060e+01
2.000000000000000000e+00,6.082981109441701228e+00,5.609071924822339383e+01,3.782629964233489517e+01
3.000000000000000000e+00,6.127126721157908129e+00,5.278242488905230090e+01,4.109044838978978476e+01
4.000000000000000000e+00,6.171274725380627935e+00,4.947395123423884655e+01,4.435477404038053351e+01
5.000000000000000000e+00,6.215425122304367278e+00,4.616529826920698554e+01,4.761927660848864008e+01
6.000000000000000000e+00,6.259577912123645227e+00,4.285646597937918045e+01,5.088395610849717343e+01
7.000000000000000000e+00,6.303733095033006606e+00,3.954745435017624544e+01,5.414881255479073729e+01
8.000000000000000000e+00,6.347890671227010451e+00,3.623826336701745987e+01,5.741384596175552701e+01
9.000000000000000000e+00,6.392050640900248659e+00,3.292889301532049018e+01,6.067905634377925850e+01
1.000000000000000000e+01,6.436213004247324676e+00,2.961934328050143606e+01,6.394444371525123927e+01
1.100000000000000000e+01,6.480377761462867703e+00,2.630961414797481268e+01,6.721000809056232583e+01
1.200000000000000000e+01,7.802938400589938261e+00,6.165268357536453436e+01,3.054437802404554247e+01
1.300000000000000000e+01,7.847127577682362798e+00,5.834476754209776317e+01,3.380810488021987936e+01
1.400000000000000000e+01,7.891319149477582506e+00,5.503667224602742181e+01,3.707200860449499658e+01
1.500000000000000000e+01,7.935513116170260339e+00,5.172839767258115984e+01,4.033608921124857005e+01
1.600000000000000000e+01,7.979709477955093888e+00,4.841994380718509206e+01,4.360034671485982471e+01
1.700000000000000000e+01,8.023908235026782521e+00,4.511131063526371321e+01,4.686478112970951315e+01
1.800000000000000000e+01,8.068109387580056691e+00,4.180249814223995486e+01,5.012939247017998667e+01
1.900000000000000000e+01,8.112312935809667280e+00,3.849350631353519248e+01,5.339418075065513847e+01
2.000000000000000000e+01,8.156518879910390041e+00,3.518433513456918149e+01,5.665914598552043913e+01
2.100000000000000000e+01,8.200727220077014934e+00,3.187498459076010704e+01,5.992428818916287980e+01
2.200000000000000000e+01,8.244937956504355014e+00,2.856545466752460527e+01,6.318960737597103616e+01
2.300000000000000000e+01,8.289151089387242877e+00,2.525574535027768164e+01,6.645510356033507549e+01
2.400000000000000000e+01,8.333366618920539537e+00,2.194585662443280683e+01,6.972077675664665719e+01
2.500000000000000000e+01,9.566891765720960450e+00,6.390634482853976550e+01,2.652676340573928826e+01
2.600000000000000000e+01,9.611126892681372880e+00,6.059862781841278689e+01,2.979024528890584378e+01
2.700000000000000000e+01,9.655364416734716571e+00,5.729073156374391118e+01,3.305390401952136870e+01
2.800000000000000000e+01,9.699604338075843657e+00,5.398265604996289824e+01,3.631773961196125100e+01
2.900000000000000000e+01,9.743846656899632919e+00,5.067440126249792343e+01,3.958175208060244188e+01
3.000000000000000000e+01,9.788091373400973794e+00,4.736596718677559892e+01,4.284594143982342018e+01
3.100000000000000000e+01,9.832338487774785918e+00,4.405735380822095237e+01,4.611030770400426348e+01
3.200000000000000000e+01,9.876588000215997809e+00,4.074856111225742694e+01,4.937485088752656992e+01
3.300000000000000000e+01,9.920839910919577065e+00,3.743958908430689547e+01,5.263957100477353634e+01
3.400000000000000000e+01,9.965094220080496612e+00,3.413043770978963920e+01,5.590446807012986596e+01
3.500000000000000000e+01,1.000935092789376135e+01,3.082110697412435840e+01,5.916954209798187492e+01
3.600000000000000000e+01,1.005361003455438684e+01,2.751159686272819371e+01,6.243479310271742122e+01
3.700000000000000000e+01,1.009787154025741707e+01,2.420190736101667639e+01,6.570022109872589056e+01
3.800000000000000000e+01,1.014213544519792087e+01,2.089203845440378160e+01,6.896582610039830286e+01
3.900000000000000000e+01,1.018640174957097777e+01,1.758199012830187158e+01,7.223160812212715598e+01
4.000000000000000000e+01,1.133069800384014947e+01,6.615981810937262253e+01,2.250948388678722267e+01
4.100000000000000000e+01,1.137497907284976328e+01,6.285230010069222573e+01,2.577272082645800566e+01
4.200000000000000000e+01,1.141926254134182450e+01,5.954460286572890482e+01,2.903613459292926890e+01
4.300000000000000000e+01,1.146354840951136467e+01,5.623672638991450157e+01,3.229972520057412311e+01
4.400000000000000000e+01,1.150783667755345618e+01,5.292867065867930876e+01,3.556349266376722085e+01
4.500000000000000000e+01,1.155212734566317145e+01,4.962043565745202756e+01,3.882743699688479211e+01
4.600000000000000000e+01,1.159642041403561308e+01,4.631202137165976751e+01,4.209155821430461941e+01
4.700000000000000000e+01,1.164071588286590320e+01,4.300342778672806787e+01,4.535585633040602715e+01
4.800000000000000000e+01,1.168501375234918527e+01,3.969465488808089049e+01,4.862033135956991714e+01
4.900000000000000000e+01,1.172931402268062939e+01,3.638570266114061980e+01,5.188498331617874726e+01
5.000000000000000000e+01,1.177361669405541988e+01,3.307657109132804862e+01,5.514981221461653149e+01
5.100000000000000000e+01,1.181792176666875882e+01,2.976726016406240305e+01,5.841481806926883991e+01
5.200000000000000000e+01,1.186222924071588203e+01,2.645776986476132109e+01,6.168000089452279155e+01
5.300000000000000000e+01,1.190653911639203777e+01,2.314810017884085624e+01,6.494536070476711132e+01
5.400000000000000000e+01,1.195085139389249562e+01,1.983825109171548462e+01,6.821089751439201621e+01
5.500000000000000000e+01,1.199516607341254648e+01,1.652822258879811201e+01,7.147661133778933618e+01
5.600000000000000000e+01,1.203948315514750789e+01,1.321801465550004018e+01,7.474250218935245016e+01
5.700000000000000000e+01,1.309435713335399498e+01,6.841310344137963284e+01,1.849253942526638639e+01
5.800000000000000000e+01,1.313868413659550249e+01,6.510578441245593240e+01,2.175553145094857754e+01
5.900000000000000000e+01,1.318301354170834472e+01,6.179828617550558789e+01,2.501870028278607805e+01
