# Ag_i,Pt_i,Ru_i,Ag_f,Pt_f,Ru_f
0.060389,0.593988,0.345623,0.079038,0.776632,0.144330
0.060830,0.560907,0.378263,0.097473,0.700361,0.202166
0.061271,0.527824,0.410905,0.055233,0.688953,0.255814
0.061713,0.494739,0.443548,0.079861,0.652778,0.267361
0.062154,0.461653,0.476193,0.084806,0.586572,0.328622
0.062596,0.428565,0.508839,0.096654,0.561338,0.342008
0.063037,0.395475,0.541488,0.106007,0.505300,0.388693
0.063479,0.362383,0.574138,0.113281,0.515625,0.371094
0.063920,0.329289,0.606791,0.058823,0.478992,0.462185
0.064362,0.296193,0.639445,0.120690,0.413793,0.465517
0.064804,0.263096,0.672100,0.086364,0.422727,0.490909
0.078029,0.616527,0.305444,0.131035,0.803448,0.065517
0.078471,0.583448,0.338081,0.119691,0.779923,0.100386
0.078913,0.550367,0.370720,0.090604,0.704698,0.204698
0.079355,0.517284,0.403361,0.093985,0.710526,0.195489
0.079797,0.484199,0.436004,0.136546,0.654619,0.208835
0.080239,0.451113,0.468648,0.101215,0.639676,0.259109
0.080681,0.418025,0.501294,0.126984,0.539683,0.333333
0.081123,0.384935,0.533942,0.118110,0.566929,0.314961
0.081565,0.351843,0.566592,0.111570,0.520661,0.367769
0.082007,0.318750,0.599243,0.131356,0.453390,0.415254
0.082449,0.285655,0.631896,0.115741,0.467592,0.416667
0.082892,0.252557,0.664551,0.087558,0.391705,0.520737
0.083334,0.219458,0.697208,0.165605,0.388535,0.445860
0.095669,0.639063,0.265268,0.119718,0.778169,0.102113
0.096111,0.605986,0.297903,0.140411,0.777397,0.082192
0.096554,0.572907,0.330539,0.123778,0.749186,0.127036
0.096996,0.539827,0.363177,0.106761,0.750890,0.142349
0.097438,0.506744,0.395818,0.156028,0.705674,0.138298
0.097881,0.473660,0.428459,0.105882,0.674510,0.219608
0.098323,0.440574,0.461103,0.084337,0.742972,0.172691
0.098766,0.407486,0.493748,0.137652,0.611336,0.251012
0.099208,0.374396,0.526396,0.119048,0.559524,0.321428
0.099651,0.341304,0.559045,0.173913,0.507246,0.318841
0.100094,0.308211,0.591695,0.113744,0.530806,0.355450
0.100536,0.275116,0.624348,0.205607,0.425234,0.369159
0.100979,0.242019,0.657002,0.190217,0.380435,0.429348
0.101421,0.208921,0.689658,0.150259,0.357513,0.492228
