# Ir,Pd,Pt,Rh,Ru,fd,fd_se
1.00,0.00,0.00,0.00,0.00,1.000000,0.000000
0.90,0.10,0.00,0.00,0.00,1.000000,0.000000
0.90,0.00,0.10,0.00,0.00,1.000000,0.000000
0.90,0.00,0.00,0.10,0.00,1.000000,0.000000
0.90,0.00,0.00,0.00,0.10,0.910135,0.010225
0.80,0.20,0.00,0.00,0.00,1.000000,0.000000
0.80,0.10,0.10,0.00,0.00,1.000000,0.000000
0.80,0.10,0.00,0.10,0.00,0.994595,0.002528
0.80,0.10,0.00,0.00,0.10,0.904730,0.007952
0.80,0.00,0.20,0.00,0.00,1.000000,0.000000
0.80,0.00,0.10,0.10,0.00,0.998649,0.001351
0.80,0.00,0.10,0.00,0.10,0.910135,0.010225
0.80,0.00,0.00,0.20,0.00,1.000000,0.000000
0.80,0.00,0.00,0.10,0.10,0.910135,0.010225
0.80,0.00,0.00,0.00,0.20,0.835135,0.018424
0.70,0.30,0.00,0.00,0.00,0.997297,0.001655
0.70,0.20,0.10,0.00,0.00,1.000000,0.000000
0.70,0.20,0.00,0.10,0.00,0.988514,0.003639
0.70,0.20,0.00,0.00,0.10,0.890541,0.011336
0.70,0.10,0.20,0.00,0.00,1.000000,0.000000
0.70,0.10,0.10,0.10,0.00,0.993919,0.002703
0.70,0.10,0.10,0.00,0.10,0.891892,0.008480
0.70,0.10,0.00,0.20,0.00,0.989189,0.003607
0.70,0.10,0.00,0.10,0.10,0.885135,0.008613
0.70,0.10,0.00,0.00,0.20,0.836486,0.013706
0.70,0.00,0.30,0.00,0.00,1.000000,0.000000
0.70,0.00,0.20,0.10,0.00,0.994595,0.002528
0.70,0.00,0.20,0.00,0.10,0.891216,0.010705
0.70,0.00,0.10,0.20,0.00,0.993243,0.003205
0.70,0.00,0.10,0.10,0.10,0.906081,0.010045
0.70,0.00,0.10,0.00,0.20,0.829730,0.021141
0.70,0.00,0.00,0.30,0.00,0.992568,0.002703
0.70,0.00,0.00,0.20,0.10,0.904730,0.011377
0.70,0.00,0.00,0.10,0.20,0.833784,0.018973
0.70,0.00,0.00,0.00,0.30,0.763514,0.019495
0.60,0.40,0.00,0.00,0.00,0.995946,0.001655
0.60,0.30,0.10,0.00,0.00,0.998649,0.001351
0.60,0.30,0.00,0.10,0.00,0.970946,0.007674
0.60,0.30,0.00,0.00,0.10,0.861486,0.018473
0.60,0.20,0.20,0.00,0.00,0.998649,0.001351
0.60,0.20,0.10,0.10,0.00,0.976351,0.005447
0.60,0.20,0.10,0.00,0.10,0.878378,0.010303
0.60,0.20,0.00,0.20,0.00,0.963514,0.012058
0.60,0.20,0.00,0.10,0.10,0.865541,0.018913
0.60,0.20,0.00,0.00,0.20,0.810811,0.018749
0.60,0.10,0.30,0.00,0.00,0.998649,0.001351
0.60,0.10,0.20,0.10,0.00,0.985811,0.003445
0.60,0.10,0.20,0.00,0.10,0.893243,0.012532
0.60,0.10,0.10,0.20,0.00,0.975000,0.009040
0.60,0.10,0.10,0.10,0.10,0.881757,0.010737
0.60,0.10,0.10,0.00,0.20,0.817568,0.013888
0.60,0.10,0.00,0.30,0.00,0.968919,0.009153
0.60,0.10,0.00,0.20,0.10,0.870946,0.007198
0.60,0.10,0.00,0.10,0.20,0.825676,0.015687
0.60,0.10,0.00,0.00,0.30,0.747297,0.011326
0.60,0.00,0.40,0.00,0.00,1.000000,0.000000
0.60,0.00,0.30,0.10,0.00,0.989865,0.005011
0.60,0.00,0.30,0.00,0.10,0.882432,0.012153
0.60,0.00,0.20,0.20,0.00,0.981757,0.009999
0.60,0.00,0.20,0.10,0.10,0.869595,0.012668
0.60,0.00,0.20,0.00,0.20,0.825000,0.015048
0.60,0.00,0.10,0.30,0.00,0.978378,0.007135
0.60,0.00,0.10,0.20,0.10,0.897973,0.013946
0.60,0.00,0.10,0.10,0.20,0.834459,0.009496
0.60,0.00,0.10,0.00,0.30,0.752027,0.011184
0.60,0.00,0.00,0.40,0.00,0.977027,0.008964
0.60,0.00,0.00,0.30,0.10,0.907432,0.014036
0.60,0.00,0.00,0.20,0.20,0.825000,0.020450
0.60,0.00,0.00,0.10,0.30,0.764189,0.020366
0.60,0.00,0.00,0.00,0.40,0.663514,0.016293
