# Au,Cu,Pt,U_crit
1.00,0.00,0.00,1.340000
0.95,0.05,0.00,1.340000
0.95,0.00,0.05,1.340000
0.90,0.10,0.00,1.340000
0.90,0.05,0.05,1.340000
0.90,0.00,0.10,1.340000
0.85,0.15,0.00,1.410000
0.85,0.10,0.05,1.370000
0.85,0.05,0.10,1.410000
0.85,0.00,0.15,1.370000
0.80,0.20,0.00,1.370000
0.80,0.15,0.05,1.370000
0.80,0.10,0.10,1.370000
0.80,0.05,0.15,1.370000
0.80,0.00,0.20,1.370000
0.75,0.25,0.00,1.370000
0.75,0.20,0.05,1.410000
0.75,0.15,0.10,1.370000
0.75,0.10,0.15,1.370000
0.75,0.05,0.20,1.370000
0.75,0.00,0.25,1.380000
0.70,0.30,0.00,1.410000
0.70,0.25,0.05,1.410000
0.70,0.20,0.10,1.410000
0.70,0.15,0.15,1.410000
0.70,0.10,0.20,1.410000
0.70,0.05,0.25,1.410000
0.70,0.00,0.30,1.410000
0.65,0.35,0.00,1.410000
0.65,0.30,0.05,1.390000
0.65,0.25,0.10,1.410000
0.65,0.20,0.15,1.410000
0.65,0.15,0.20,1.410000
0.65,0.10,0.25,1.410000
0.65,0.05,0.30,1.410000
0.65,0.00,0.35,1.410000
0.60,0.40,0.00,1.410000
0.60,0.35,0.05,1.400000
0.60,0.30,0.10,1.410000
0.60,0.25,0.15,1.390000
0.60,0.20,0.20,1.370000
0.60,0.15,0.25,1.410000
0.60,0.10,0.30,1.370000
0.60,0.05,0.35,1.370000
0.60,0.00,0.40,1.410000
0.55,0.45,0.00,1.410000
0.55,0.40,0.05,1.380000
0.55,0.35,0.10,1.370000
0.55,0.30,0.15,1.410000
0.55,0.25,0.20,1.410000
0.55,0.20,0.25,1.370000
0.55,0.15,0.30,1.410000
0.55,0.10,0.35,1.370000
0.55,0.05,0.40,1.410000
0.55,0.00,0.45,1.410000
0.50,0.50,0.00,1.410000
0.50,0.45,0.05,1.370000
0.50,0.40,0.10,1.390000
0.50,0.35,0.15,1.410000
0.50,0.30,0.20,1.370000
0.50,0.25,0.25,1.410000
0.50,0.20,0.30,1.410000
0.50,0.15,0.35,1.370000
0.50,0.10,0.40,1.370000
0.50,0.05,0.45,1.380000
0.50,0.00,0.50,1.390000
0.45,0.55,0.00,1.370000
0.45,0.50,0.05,1.370000
0.45,0.45,0.10,1.370000
0.45,0.40,0.15,1.370000
0.45,0.35,0.20,1.370000
0.45,0.30,0.25,1.370000
0.45,0.25,0.30,1.380000
0.45,0.20,0.35,1.380000
0.45,0.15,0.40,1.370000
0.45,0.10,0.45,1.370000
0.45,0.05,0.50,1.380000
0.45,0.00,0.55,1.370000
0.40,0.60,0.00,1.370000
0.40,0.55,0.05,1.370000
0.40,0.50,0.10,1.370000
0.40,0.45,0.15,1.370000
0.40,0.40,0.20,1.370000
0.40,0.35,0.25,1.370000
0.40,0.30,0.30,1.380000
0.40,0.25,0.35,1.370000
0.40,0.20,0.40,1.410000
0.40,0.15,0.45,1.370000
0.40,0.10,0.50,1.370000
0.40,0.05,0.55,1.380000
0.40,0.00,0.60,1.370000
0.35,0.65,0.00,1.370000
0.35,0.60,0.05,1.370000
0.35,0.55,0.10,1.370000
0.35,0.50,0.15,1.370000
0.35,0.45,0.20,1.370000
0.35,0.40,0.25,1.370000
0.35,0.35,0.30,1.370000
0.35,0.30,0.35,1.370000
0.35,0.25,0.40,1.370000
0.35,0.20,0.45,1.370000
0.35,0.15,0.50,1.370000
0.35,0.10,0.55,1.370000
0.35,0.05,0.60,1.370000
0.35,0.00,0.65,1.370000
0.30,0.70,0.00,1.370000
0.30,0.65,0.05,1.370000
0.30,0.60,0.10,1.370000
0.30,0.55,0.15,1.370000
0.30,0.50,0.20,1.370000
0.30,0.45,0.25,1.370000
0.30,0.40,0.30,1.370000
0.30,0.35,0.35,1.370000
0.30,0.30,0.40,1.370000
0.30,0.25,0.45,1.370000
0.30,0.20,0.50,1.370000
0.30,0.15,0.55,1.370000
0.30,0.10,0.60,1.370000
0.30,0.05,0.65,1.370000
0.30,0.00,0.70,1.370000
0.25,0.75,0.00,1.370000
0.25,0.70,0.05,1.370000
0.25,0.65,0.10,1.370000
0.25,0.60,0.15,1.370000
0.25,0.55,0.20,1.370000
0.25,0.50,0.25,1.370000
0.25,0.45,0.30,1.370000
0.25,0.40,0.35,1.370000
0.25,0.35,0.40,1.370000
0.25,0.30,0.45,1.370000
0.25,0.25,0.50,1.370000
0.25,0.20,0.55,1.370000
0.25,0.15,0.60,1.370000
0.25,0.10,0.65,1.370000
0.25,0.05,0.70,1.370000
0.25,0.00,0.75,1.370000
0.20,0.80,0.00,1.370000
0.20,0.75,0.05,1.370000
0.20,0.70,0.10,1.370000
0.20,0.65,0.15,1.370000
0.20,0.60,0.20,1.370000
0.20,0.55,0.25,1.370000
0.20,0.50,0.30,1.370000
0.20,0.45,0.35,1.370000
0.20,0.40,0.40,1.370000
0.20,0.35,0.45,1.370000
0.20,0.30,0.50,1.370000
0.20,0.25,0.55,1.370000
0.20,0.20,0.60,1.370000
0.20,0.15,0.65,1.370000
0.20,0.10,0.70,1.370000
0.20,0.05,0.75,1.370000
0.20,0.00,0.80,1.370000
0.15,0.85,0.00,1.370000
0.15,0.80,0.05,1.370000
0.15,0.75,0.10,1.370000
0.15,0.70,0.15,1.370000
0.15,0.65,0.20,1.370000
0.15,0.60,0.25,1.370000
0.15,0.55,0.30,1.370000
0.15,0.50,0.35,1.370000
0.15,0.45,0.40,1.370000
0.15,0.40,0.45,1.370000
0.15,0.35,0.50,1.370000
0.15,0.30,0.55,1.370000
0.15,0.25,0.60,1.370000
0.15,0.20,0.65,1.370000
0.15,0.15,0.70,1.370000
0.15,0.10,0.75,1.370000
0.15,0.05,0.80,1.370000
0.15,0.00,0.85,1.370000
0.10,0.90,0.00,1.310000
