# U,fd,fd_se,std
-0.50,1.000000,0.000000,0.000000
-0.45,1.000000,0.000000,0.000000
-0.40,1.000000,0.000000,0.000000
-0.35,1.000000,0.000000,0.000000
-0.30,1.000000,0.000000,0.000000
-0.25,1.000000,0.000000,0.000000
-0.20,1.000000,0.000000,0.000000
-0.15,1.000000,0.000000,0.000000
-0.10,1.000000,0.000000,0.000000
-0.05,0.999550,0.000313,0.001714
-0.00,0.998423,0.000531,0.002907
0.05,0.996847,0.000825,0.004518
0.10,0.990878,0.001297,0.007106
0.15,0.983108,0.001737,0.009514
0.20,0.949775,0.003119,0.017083
0.25,0.905180,0.005140,0.028153
0.30,0.833671,0.005715,0.031301
0.35,0.795045,0.007035,0.038533
0.40,0.727140,0.009268,0.050762
0.45,0.672185,0.009892,0.054181
0.50,0.596959,0.008971,0.049135
0.55,0.526914,0.007078,0.038769
0.60,0.491329,0.009274,0.050793
0.65,0.487500,0.008832,0.048376
0.70,0.465878,0.007880,0.043158
0.75,0.415090,0.008349,0.045730
0.80,0.307883,0.007080,0.038781
0.85,0.222185,0.005367,0.029394
0.90,0.187950,0.004287,0.023481
0.95,0.163851,0.004276,0.023419
1.00,0.147860,0.003537,0.019370
1.05,0.122185,0.003931,0.021533
1.10,0.104842,0.003487,0.019100
1.15,0.086036,0.003492,0.019126
1.20,0.076351,0.003181,0.017422
1.25,0.057995,0.002192,0.012005
1.30,0.044257,0.001777,0.009733
1.35,0.006532,0.001923,0.010532
1.40,0.000000,0.000000,0.000000
1.45,0.000000,0.000000,0.000000
1.50,0.000000,0.000000,0.000000
