# U,fd,fd_se,std
-0.50,1.000000,0.000000,0.000000
-0.45,1.000000,0.000000,0.000000
-0.40,1.000000,0.000000,0.000000
-0.35,1.000000,0.000000,0.000000
-0.30,1.000000,0.000000,0.000000
-0.25,0.999775,0.000225,0.001234
-0.20,0.998649,0.000597,0.003272
-0.15,0.997973,0.000660,0.003615
-0.10,0.995270,0.001302,0.007131
-0.05,0.990653,0.001887,0.010334
-0.00,0.984009,0.002838,0.015543
0.05,0.976126,0.002661,0.014576
0.10,0.952815,0.004455,0.024402
0.15,0.928829,0.005678,0.031102
0.20,0.899324,0.006384,0.034968
0.25,0.854167,0.005755,0.031519
0.30,0.823423,0.006815,0.037325
0.35,0.778941,0.006887,0.037721
0.40,0.765315,0.008674,0.047511
0.45,0.729505,0.008365,0.045817
0.50,0.691892,0.010954,0.059999
0.55,0.672973,0.008069,0.044195
0.60,0.641554,0.007660,0.041956
0.65,0.597410,0.007924,0.043401
0.70,0.564189,0.009459,0.051809
0.75,0.524550,0.009428,0.051641
0.80,0.456644,0.006734,0.036881
0.85,0.410248,0.006084,0.033323
0.90,0.300901,0.008398,0.045997
0.95,0.151014,0.015283,0.083709
1.00,0.000000,0.000000,0.000000
1.05,0.000000,0.000000,0.000000
1.10,0.000000,0.000000,0.000000
1.15,0.000000,0.000000,0.000000
1.20,0.000000,0.000000,0.000000
1.25,0.000000,0.000000,0.000000
1.30,0.000000,0.000000,0.000000
1.35,0.000000,0.000000,0.000000
1.40,0.000000,0.000000,0.000000
1.45,0.000000,0.000000,0.000000
1.50,0.000000,0.000000,0.000000
