# U,fd,fd_se,std
-0.50,0.989640,0.002087,0.011429
-0.45,0.983671,0.002257,0.012360
-0.40,0.973423,0.002724,0.014918
-0.35,0.963964,0.003167,0.017348
-0.30,0.951577,0.003472,0.019015
-0.25,0.932320,0.004882,0.026741
-0.20,0.906532,0.005707,0.031259
-0.15,0.898874,0.005856,0.032074
-0.10,0.853716,0.006309,0.034557
-0.05,0.834910,0.006006,0.032895
-0.00,0.811036,0.006015,0.032945
0.05,0.777027,0.008763,0.047999
0.10,0.754617,0.007513,0.041152
0.15,0.722297,0.007722,0.042293
0.20,0.688288,0.008488,0.046491
0.25,0.641554,0.010342,0.056645
0.30,0.599212,0.008204,0.044937
0.35,0.545045,0.009511,0.052091
0.40,0.518356,0.007600,0.041630
0.45,0.485811,0.005996,0.032843
0.50,0.431644,0.008733,0.047833
0.55,0.416892,0.008580,0.046993
0.60,0.375788,0.007710,0.042230
0.65,0.338851,0.006544,0.035843
0.70,0.290090,0.005295,0.029004
0.75,0.269707,0.006825,0.037380
0.80,0.214977,0.006364,0.034856
0.85,0.156194,0.004818,0.026389
0.90,0.120270,0.003933,0.021543
0.95,0.092230,0.003158,0.017298
1.00,0.078491,0.002887,0.015813
1.05,0.074550,0.002833,0.015518
1.10,0.068131,0.002862,0.015673
1.15,0.055180,0.002993,0.016391
1.20,0.049437,0.002311,0.012656
1.25,0.038964,0.002255,0.012349
1.30,0.024775,0.001806,0.009893
1.35,0.004617,0.001291,0.007069
1.40,0.000000,0.000000,0.000000
1.45,0.000000,0.000000,0.000000
1.50,0.000000,0.000000,0.000000
