# U,fd,fd_se
0.00,0.999324,0.000465
0.01,0.999324,0.000465
0.02,0.998986,0.000553
0.03,0.998649,0.000620
0.04,0.998649,0.000620
0.05,0.997635,0.001014
0.06,0.997635,0.001014
0.07,0.997635,0.001014
0.08,0.997635,0.001014
0.09,0.996959,0.001247
0.10,0.994595,0.001438
0.11,0.994595,0.001438
0.12,0.993919,0.001542
0.13,0.992905,0.001586
0.14,0.992230,0.001571
0.15,0.990878,0.001571
0.16,0.990203,0.001586
0.17,0.989865,0.001588
0.18,0.987331,0.002019
0.19,0.985642,0.001782
0.20,0.978885,0.003305
0.21,0.977196,0.003386
0.22,0.976014,0.003982
0.23,0.973818,0.003874
0.24,0.970946,0.004469
0.25,0.965372,0.004913
0.26,0.962500,0.004944
0.27,0.952534,0.004698
0.28,0.946959,0.005337
0.29,0.940878,0.006251
0.30,0.932770,0.005784
0.31,0.928041,0.006504
0.32,0.919426,0.006731
0.33,0.913514,0.006701
0.34,0.908784,0.007179
0.35,0.902196,0.007516
0.36,0.894764,0.008071
0.37,0.885811,0.008288
0.38,0.878209,0.007879
0.39,0.870946,0.007971
0.40,0.857939,0.008138
0.41,0.848986,0.007927
0.42,0.838007,0.007528
0.43,0.833953,0.008229
0.44,0.825676,0.009560
0.45,0.815541,0.009557
0.46,0.805743,0.009930
0.47,0.793919,0.009467
0.48,0.787669,0.009152
0.49,0.778041,0.009886
0.50,0.769257,0.009568
0.51,0.759628,0.009496
0.52,0.748649,0.010379
0.53,0.736655,0.011318
0.54,0.720946,0.011763
0.55,0.714189,0.012363
0.56,0.707770,0.013193
0.57,0.702703,0.013624
0.58,0.698311,0.013754
0.59,0.686318,0.013048
0.60,0.680574,0.012938
0.61,0.670101,0.014163
0.62,0.662838,0.014059
0.63,0.654223,0.014099
0.64,0.648649,0.014226
0.65,0.638851,0.015509
0.66,0.632939,0.016392
0.67,0.623480,0.017222
0.68,0.610811,0.017487
0.69,0.599155,0.017703
0.70,0.586993,0.019641
0.71,0.575000,0.019605
0.72,0.564696,0.017693
0.73,0.555912,0.018172
0.74,0.547297,0.017850
0.75,0.527534,0.017319
0.76,0.515372,0.018238
0.77,0.509291,0.017796
0.78,0.497466,0.017037
0.79,0.485304,0.016737
0.80,0.467399,0.016330
0.81,0.452027,0.015014
0.82,0.441554,0.016010
0.83,0.419088,0.015612
0.84,0.410642,0.015523
0.85,0.390878,0.014093
0.86,0.378885,0.013956
0.87,0.374324,0.013623
0.88,0.351351,0.014402
0.89,0.343074,0.015036
0.90,0.327872,0.013028
0.91,0.308446,0.013312
0.92,0.299662,0.013142
0.93,0.294088,0.011014
0.94,0.285811,0.010921
0.95,0.274324,0.011492
0.96,0.263007,0.010973
0.97,0.263851,0.008493
0.98,0.252534,0.007014
0.99,0.235135,0.007218
1.00,0.222297,0.007822
1.01,0.219088,0.006994
1.02,0.202703,0.009445
1.03,0.173649,0.009003
1.04,0.125000,0.013346
1.05,0.058277,0.015991
1.06,0.023986,0.010135
1.07,0.006757,0.006757
1.08,0.000000,0.000000
1.09,0.000000,0.000000
1.10,0.000000,0.000000
1.11,0.000000,0.000000
1.12,0.000000,0.000000
1.13,0.000000,0.000000
1.14,0.000000,0.000000
1.15,0.000000,0.000000
1.16,0.000000,0.000000
1.17,0.000000,0.000000
1.18,0.000000,0.000000
1.19,0.000000,0.000000
1.20,0.000000,0.000000
1.21,0.000000,0.000000
1.22,0.000000,0.000000
1.23,0.000000,0.000000
1.24,0.000000,0.000000
1.25,0.000000,0.000000
