# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru
-0.48,-0.57,-0.71,-1.34,-0.78,-1.02,-1.10,-1.28
-0.27,-0.26,-0.37,-0.56,-0.38,-0.45,-0.51,-0.54
-0.15,-0.21,-0.21,-0.34,-0.25,-0.33,-0.35,-0.31
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.18,0.23,0.22,0.54,0.27,0.35,0.33,0.49
0.29,0.32,0.32,0.74,0.40,0.48,0.51,0.71
0.60,0.74,0.72,1.42,0.83,1.06,1.06,1.36
0.00,0.14,-0.33,-2.52,-0.32,-0.69,-1.52,-2.85
0.12,0.00,-0.13,-2.29,-0.28,-0.77,-1.30,-2.31
0.25,0.45,0.00,-1.52,0.12,-0.07,-0.79,-1.86
0.65,0.70,0.70,0.00,0.84,0.84,0.75,0.50
0.46,0.47,0.22,-1.51,0.00,-0.24,-0.81,-1.54
0.57,0.45,0.48,-1.00,0.28,0.00,-0.35,-0.84
0.54,0.66,0.42,-0.45,0.43,0.35,0.00,-0.42
0.54,0.82,0.49,0.45,0.81,0.92,0.75,0.00
