# Ir,Pd,Pt,Rh,Ru,Sd
0.133197,0.338101,0.260318,0.212900,0.055485,0.882079
0.065285,0.024308,0.362501,0.251571,0.296334,0.740884
0.009284,0.437468,0.375464,0.095773,0.082010,0.926299
0.105673,0.175297,0.302353,0.248877,0.167800,0.809154
0.327909,0.074759,0.156568,0.196343,0.244421,0.884407
0.367257,0.093395,0.240527,0.277095,0.021727,0.949573
0.220313,0.061837,0.023590,0.344094,0.350166,0.674942
0.346199,0.130452,0.041828,0.293025,0.188497,0.865787
0.067065,0.272119,0.018898,0.499708,0.142210,0.000000
0.297647,0.140040,0.233647,0.245617,0.083048,0.907680
0.232128,0.185574,0.224925,0.214230,0.143143,0.889061
0.584609,0.056118,0.124283,0.028681,0.206309,0.951901
0.182782,0.127606,0.389728,0.167769,0.132114,0.900698
0.213051,0.055324,0.314926,0.029267,0.387432,0.832428
0.309046,0.079524,0.002210,0.326341,0.282879,0.850272
0.355846,0.376476,0.036143,0.174976,0.056559,0.914663
0.393780,0.284372,0.150968,0.028998,0.141882,0.943367
0.106555,0.239076,0.208914,0.290720,0.154735,0.793638
0.040875,0.243772,0.260020,0.191833,0.263500,0.784329
0.313048,0.331393,0.271045,0.016115,0.068399,0.961986
0.013105,0.265355,0.131073,0.212052,0.378416,0.643134
0.144853,0.238455,0.439018,0.132945,0.044730,0.951901
0.102669,0.057126,0.329424,0.286345,0.224437,0.789760
0.264592,0.244010,0.056646,0.270998,0.163754,0.841738
0.342205,0.379777,0.134775,0.046642,0.096602,0.949573
0.162797,0.311797,0.328078,0.002650,0.194678,0.929403
0.204622,0.108881,0.058760,0.165505,0.462231,0.667184
0.112207,0.180109,0.244068,0.126242,0.337375,0.776571
0.418966,0.109604,0.216459,0.130976,0.123995,0.958883
0.024936,0.412075,0.339819,0.034800,0.188369,0.894492
0.328151,0.086552,0.052350,0.176837,0.356110,0.854151
0.091630,0.254436,0.288311,0.089958,0.275666,0.861908
0.162759,0.279821,0.280362,0.237102,0.039957,0.917766
0.423095,0.162480,0.094475,0.020653,0.299297,0.914663
0.326079,0.007983,0.246446,0.109002,0.310491,0.901474
0.074955,0.297013,0.166246,0.402671,0.059116,0.782002
0.135639,0.045127,0.367742,0.348910,0.102581,0.810706
0.235380,0.291458,0.198010,0.188897,0.086255,0.913111
0.032521,0.313398,0.314516,0.221142,0.118423,0.837083
0.095957,0.199480,0.246511,0.243756,0.214296,0.778123
0.268320,0.035164,0.067548,0.375527,0.253441,0.743988
0.009784,0.107944,0.705823,0.005384,0.171065,0.933282
0.193965,0.244569,0.230453,0.079274,0.251739,0.869666
0.084491,0.115883,0.265845,0.231351,0.302430,0.741660
0.336803,0.291065,0.047976,0.188329,0.135826,0.913887
0.077870,0.310540,0.125459,0.284700,0.201430,0.740109
0.310217,0.196181,0.225167,0.192231,0.076204,0.927075
0.390489,0.151759,0.013143,0.348881,0.095729,0.909232
0.294366,0.298582,0.286354,0.115860,0.004838,0.958883
0.224243,0.103431,0.233504,0.232770,0.206052,0.851823
