# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd_mean,Sd_std
0.144296,0.008581,0.181915,0.144074,0.139124,0.109327,0.067730,0.204953,0.494285,0.057751
0.089860,0.080016,0.186264,0.158678,0.040358,0.154011,0.055309,0.235505,0.584769,0.044771
0.253435,0.146675,0.251235,0.023636,0.149942,0.019375,0.127054,0.028648,0.412852,0.033887
0.055371,0.259847,0.098415,0.046568,0.095930,0.152328,0.203694,0.087847,0.730799,0.020485
0.150602,0.113602,0.118815,0.090984,0.186637,0.136398,0.038167,0.164794,0.670261,0.037407
0.196699,0.101966,0.181398,0.069665,0.115657,0.087189,0.089065,0.158362,0.447039,0.045933
0.142209,0.253229,0.144493,0.021797,0.097268,0.225910,0.107871,0.007223,0.783734,0.025531
0.053559,0.014549,0.215352,0.210309,0.173403,0.130404,0.165755,0.036668,0.680605,0.037115
0.084410,0.150965,0.102731,0.013158,0.283212,0.127139,0.145185,0.093201,0.705482,0.031305
0.070690,0.105293,0.226435,0.200507,0.103203,0.003543,0.217015,0.073315,0.363072,0.050843
0.167834,0.007360,0.190738,0.111621,0.143175,0.119508,0.101064,0.158701,0.414844,0.106182
0.280536,0.032519,0.090327,0.012052,0.212915,0.189592,0.061890,0.120170,0.534963,0.086489
0.131743,0.135352,0.034883,0.180404,0.159196,0.027410,0.177798,0.153215,0.604241,0.046786
0.173710,0.118189,0.048037,0.199785,0.128791,0.075314,0.057378,0.198796,0.653297,0.040765
0.098174,0.126348,0.142312,0.193256,0.145848,0.041332,0.138292,0.114437,0.554797,0.033611
0.202620,0.258687,0.090902,0.069016,0.040894,0.101349,0.003791,0.232741,0.676649,0.025267
0.123869,0.078595,0.039988,0.119078,0.090193,0.119854,0.197827,0.230596,0.616266,0.038701
0.210913,0.246700,0.012196,0.057929,0.160549,0.040297,0.217160,0.054257,0.668839,0.030887
0.226334,0.199258,0.243766,0.009535,0.070051,0.215005,0.026718,0.009334,0.687122,0.028773
0.150696,0.248863,0.022036,0.027707,0.018356,0.166737,0.282048,0.083559,0.705534,0.032819
0.197237,0.097326,0.139474,0.065372,0.138487,0.214658,0.100843,0.046604,0.682208,0.042641
0.130148,0.136025,0.155314,0.160856,0.012982,0.050307,0.137754,0.216615,0.436385,0.034961
0.143103,0.143014,0.092529,0.176075,0.061076,0.088605,0.137727,0.157872,0.599948,0.039493
0.118427,0.242502,0.127031,0.204517,0.002414,0.007201,0.268723,0.029185,0.561288,0.022346
0.142372,0.060922,0.043196,0.083521,0.199138,0.122651,0.197162,0.151039,0.639307,0.041547
0.133085,0.134378,0.058102,0.001238,0.110945,0.149590,0.232748,0.179915,0.614404,0.035706
0.165829,0.182332,0.185276,0.160648,0.025867,0.068240,0.041048,0.170760,0.558754,0.032535
0.155705,0.068584,0.111845,0.158221,0.163729,0.040442,0.143590,0.157883,0.432842,0.048576
0.011089,0.027558,0.111862,0.056790,0.226413,0.185035,0.183318,0.197935,0.698707,0.024418
0.074805,0.051705,0.141661,0.093743,0.211873,0.145304,0.087506,0.193403,0.672614,0.029775
0.095399,0.044671,0.195827,0.118301,0.065007,0.173465,0.245638,0.061693,0.554513,0.044254
0.200983,0.193885,0.030530,0.213358,0.117434,0.031990,0.136408,0.075412,0.647505,0.037692
0.072311,0.032607,0.081848,0.176777,0.264107,0.035957,0.294525,0.041868,0.592035,0.060096
