# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd
0.096229,0.244263,0.188068,0.153811,0.040085,0.040079,0.014923,0.222543,0.587277
0.162039,0.190871,0.005549,0.261453,0.224397,0.057239,0.049013,0.049439,0.841738
0.102714,0.177161,0.145828,0.098321,0.206566,0.047094,0.098630,0.123686,0.600465
0.135249,0.232846,0.059214,0.152497,0.175682,0.013775,0.180169,0.050569,0.626067
0.015077,0.219922,0.223804,0.187362,0.070600,0.022637,0.158584,0.102014,0.508146
0.036825,0.149419,0.010377,0.274387,0.078087,0.199916,0.094059,0.156930,0.878200
0.093769,0.031705,0.166299,0.132947,0.161138,0.153477,0.102549,0.158116,0.663305
0.035389,0.078376,0.018087,0.130104,0.155437,0.108516,0.331422,0.142670,0.639255
0.073947,0.142847,0.037094,0.211152,0.019623,0.259765,0.203268,0.052305,0.793638
0.001544,0.228006,0.197640,0.203833,0.215650,0.020703,0.100228,0.032397,0.664081
0.222210,0.160471,0.085191,0.016363,0.080064,0.083720,0.187840,0.164142,0.541505
0.185645,0.098809,0.025024,0.149243,0.159190,0.117444,0.161321,0.103324,0.747867
0.203054,0.166077,0.009874,0.041910,0.012209,0.247212,0.122111,0.197553,0.714507
0.294708,0.080951,0.133261,0.245345,0.074296,0.024997,0.094089,0.052352,0.326610
0.164118,0.142656,0.111813,0.153837,0.141871,0.032935,0.157562,0.095209,0.523662
0.180822,0.200675,0.071215,0.024646,0.051045,0.095649,0.183191,0.192757,0.528317
0.002413,0.177293,0.144894,0.077099,0.041608,0.117194,0.327307,0.112192,0.546160
0.113531,0.153848,0.079576,0.212663,0.210621,0.055100,0.108817,0.065844,0.768813
0.097819,0.012668,0.209334,0.172628,0.017679,0.095692,0.311913,0.082269,0.324282
0.034000,0.114850,0.231283,0.056798,0.157717,0.178714,0.055762,0.170876,0.622964
0.102097,0.175529,0.175869,0.148732,0.025065,0.231881,0.089049,0.051778,0.778898
0.014139,0.204890,0.234943,0.005752,0.177567,0.078537,0.223712,0.060461,0.558573
0.156729,0.087725,0.212483,0.031195,0.077366,0.025740,0.209753,0.199011,0.288596
0.063655,0.162872,0.201675,0.137013,0.130708,0.059685,0.022976,0.221416,0.671839
0.163362,0.114863,0.061510,0.063357,0.131710,0.162762,0.160944,0.141492,0.709077
0.202728,0.026568,0.051036,0.283728,0.191487,0.002904,0.032041,0.209508,0.494182
0.001566,0.049753,0.169773,0.214066,0.201711,0.069387,0.220342,0.073403,0.614430
0.076420,0.175313,0.152565,0.199439,0.154440,0.133467,0.021999,0.086358,0.757176
0.056475,0.051958,0.207203,0.083710,0.189961,0.134401,0.169255,0.107037,0.611327
0.185214,0.158122,0.062683,0.231943,0.090142,0.007807,0.207228,0.056861,0.482545
0.170434,0.172875,0.165796,0.067082,0.002801,0.168234,0.077597,0.175181,0.590380
0.219477,0.194284,0.067065,0.087711,0.193857,0.072183,0.038604,0.126819,0.619860
0.205167,0.152541,0.124934,0.021297,0.134784,0.216979,0.030701,0.113597,0.772692
0.165849,0.140027,0.131756,0.132790,0.067954,0.055497,0.152993,0.153135,0.456943
0.151079,0.159124,0.089097,0.087385,0.139095,0.113250,0.122311,0.138659,0.710628
0.268071,0.101805,0.113126,0.028308,0.174179,0.010826,0.140239,0.163446,0.384019
0.103172,0.212735,0.010982,0.013448,0.296185,0.129690,0.045749,0.188039,0.819240
0.222854,0.062464,0.180279,0.024701,0.014958,0.153786,0.156472,0.184487,0.350659
0.176037,0.236590,0.125174,0.078299,0.192789,0.065662,0.106426,0.019021,0.605896
0.007225,0.274346,0.238247,0.198347,0.116548,0.049387,0.044583,0.071317,0.728472
0.108483,0.141147,0.130402,0.055292,0.188605,0.145749,0.109496,0.120827,0.661753
0.209974,0.123968,0.178134,0.379236,0.007203,0.058084,0.023020,0.020381,0.543832
0.231002,0.190010,0.128042,0.026418,0.132752,0.127852,0.046770,0.117154,0.719162
0.098279,0.151880,0.156626,0.011173,0.092386,0.154348,0.124083,0.211226,0.589604
0.179843,0.044486,0.019267,0.175399,0.007238,0.159934,0.256711,0.157121,0.646237
0.074228,0.123013,0.087629,0.104336,0.180032,0.073833,0.183804,0.173126,0.628394
0.126173,0.044698,0.064944,0.011743,0.060862,0.440148,0.045876,0.205556,0.822343
0.197134,0.005430,0.190039,0.065765,0.027571,0.162569,0.146751,0.204740,0.441427
0.148242,0.162038,0.056878,0.035784,0.151376,0.162714,0.199755,0.083213,0.723817
0.071366,0.148943,0.065378,0.178552,0.164674,0.082296,0.144043,0.144748,0.732351
0.026088,0.228321,0.127815,0.209071,0.080964,0.226543,0.098457,0.002742,0.844841
0.185896,0.018743,0.065562,0.195070,0.195182,0.117740,0.129731,0.092076,0.721490
0.069587,0.078001,0.159607,0.178559,0.187863,0.187398,0.021646,0.117339,0.782777
0.017396,0.166081,0.133441,0.268285,0.106055,0.035380,0.043215,0.230147,0.642358
0.194004,0.031733,0.026394,0.219972,0.022834,0.257909,0.221627,0.025528,0.768813
0.015959,0.185604,0.070407,0.069724,0.152902,0.178194,0.185484,0.141724,0.719162
0.100882,0.022388,0.208367,0.149718,0.113741,0.243009,0.029814,0.132081,0.701319
0.004127,0.170342,0.020464,0.043186,0.042717,0.235966,0.271162,0.212035,0.730799
0.206466,0.080441,0.061309,0.186386,0.047980,0.206691,0.002608,0.208119,0.733126
0.009434,0.194785,0.115344,0.217041,0.016130,0.121061,0.211868,0.114338,0.648565
0.149177,0.164903,0.107733,0.148741,0.138492,0.213589,0.010772,0.066593,0.803724
0.226341,0.212017,0.108515,0.147685,0.066059,0.044801,0.110430,0.084151,0.647013
0.117210,0.015611,0.195678,0.198051,0.140205,0.107659,0.062159,0.163427,0.531420
0.129488,0.030752,0.172263,0.155548,0.179615,0.137239,0.116002,0.079093,0.561676
0.222338,0.206447,0.010779,0.006285,0.089739,0.193215,0.235341,0.035855,0.733126
0.124235,0.079646,0.202813,0.176091,0.175298,0.098006,0.086741,0.057171,0.629946
0.009397,0.144131,0.135494,0.166632,0.166119,0.092579,0.128174,0.157473,0.723817
0.205364,0.059785,0.108899,0.031219,0.230599,0.146516,0.055264,0.162354,0.586501
0.139646,0.080915,0.025655,0.151720,0.117547,0.174480,0.117514,0.192523,0.732351
0.140391,0.142688,0.222998,0.102635,0.034090,0.007322,0.192087,0.157790,0.388673
0.248074,0.075035,0.048049,0.005125,0.123525,0.207850,0.138202,0.154139,0.688906
0.168041,0.064725,0.095527,0.145645,0.073699,0.115617,0.160274,0.176472,0.596587
0.036007,0.226851,0.120482,0.063225,0.112408,0.239936,0.120605,0.080486,0.802948
0.296267,0.112326,0.035484,0.060282,0.059892,0.071051,0.064935,0.299763,0.401086
0.061212,0.116334,0.301814,0.159511,0.224666,0.057994,0.064715,0.013754,0.626067
0.090569,0.149358,0.094899,0.047555,0.064675,0.247032,0.110619,0.195292,0.762607
0.110967,0.152182,0.008665,0.176212,0.138406,0.018022,0.192560,0.202985,0.598138
0.019444,0.088142,0.256647,0.238202,0.058741,0.066645,0.117937,0.154244,0.567106
0.150983,0.090092,0.112955,0.182539,0.008958,0.061647,0.174206,0.218618,0.425912
0.169430,0.176197,0.035488,0.148150,0.176364,0.080288,0.089154,0.124929,0.690458
0.006343,0.101792,0.066828,0.103505,0.037851,0.281449,0.187603,0.214629,0.751746
0.207504,0.131060,0.022855,0.141226,0.154304,0.196005,0.113500,0.033546,0.823894
0.070083,0.089668,0.159519,0.140962,0.087943,0.243634,0.149605,0.058587,0.765710
0.046200,0.069384,0.111643,0.072935,0.084685,0.129407,0.078696,0.407050,0.545384
0.018477,0.120789,0.094509,0.226230,0.025801,0.091621,0.223257,0.199316,0.673390
0.192151,0.060651,0.040188,0.157245,0.218562,0.130934,0.134426,0.065843,0.720714
0.241893,0.058798,0.101750,0.133738,0.159569,0.076202,0.036099,0.191951,0.411947
0.112711,0.226975,0.060279,0.187886,0.207977,0.020237,0.131445,0.052489,0.676493
0.014154,0.221093,0.071993,0.180874,0.056870,0.152204,0.169786,0.133027,0.752521
0.097987,0.085575,0.072490,0.193144,0.172592,0.200520,0.025827,0.151865,0.830101
0.219314,0.042359,0.015542,0.173218,0.134269,0.196756,0.032668,0.185874,0.741660
0.053505,0.043428,0.043590,0.216158,0.176519,0.138802,0.095220,0.232777,0.795966
0.097152,0.202153,0.108710,0.093314,0.114539,0.074608,0.185074,0.124451,0.591156
0.049974,0.193595,0.082616,0.116977,0.195080,0.134341,0.025157,0.202259,0.726920
0.132654,0.070776,0.029432,0.167801,0.131040,0.112736,0.188906,0.166654,0.712956
0.041010,0.084284,0.067187,0.201149,0.009067,0.154088,0.206155,0.237061,0.723041
0.095223,0.228609,0.030796,0.235622,0.035488,0.110591,0.221939,0.041732,0.783553
0.055283,0.174169,0.173634,0.154611,0.167343,0.130876,0.060720,0.083363,0.733126
0.043000,0.215111,0.138141,0.094917,0.109398,0.224307,0.036312,0.138813,0.762607
0.098730,0.119332,0.003534,0.170204,0.181913,0.110292,0.135959,0.180036,0.728472
0.139680,0.030126,0.113817,0.119826,0.083766,0.145448,0.184537,0.182800,0.597362
0.093495,0.023483,0.204237,0.173971,0.025853,0.190965,0.180399,0.107597,0.615206
0.202534,0.136673,0.018758,0.114818,0.275007,0.001587,0.114236,0.136388,0.628394
0.133770,0.228973,0.086213,0.086364,0.183581,0.112567,0.055909,0.112622,0.771916
0.037818,0.047357,0.133803,0.112474,0.245621,0.097297,0.155878,0.169752,0.644686
0.003783,0.191705,0.051437,0.277666,0.042951,0.119790,0.024659,0.288010,0.772692
0.146909,0.174170,0.019622,0.219389,0.061405,0.262712,0.060010,0.055783,0.867339
0.010966,0.141628,0.169462,0.019714,0.232672,0.135995,0.157326,0.132237,0.681924
0.106884,0.149256,0.041403,0.048520,0.229838,0.252329,0.099562,0.072208,0.868115
0.225314,0.143002,0.008882,0.054632,0.250494,0.230535,0.009480,0.077661,0.860357
0.079786,0.231993,0.006806,0.035947,0.276197,0.061648,0.225382,0.082240,0.747867
0.024730,0.060475,0.179621,0.212804,0.206468,0.098776,0.166147,0.050978,0.709077
