# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd,idx
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00,0
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.00,1
0.0,0.0,0.0,93.8,6.2,0.0,0.0,0.0,1.00,1
0.0,0.0,0.0,93.8,0.0,6.2,0.0,0.0,1.00,1
0.0,0.0,0.0,87.5,6.2,6.2,0.0,0.0,1.00,1
0.0,0.0,0.0,87.5,0.0,12.5,0.0,0.0,1.00,1
0.0,0.0,0.0,81.2,0.0,18.8,0.0,0.0,1.00,1
0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,1.00,1
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.00,2
6.2,0.0,0.0,0.0,0.0,93.8,0.0,0.0,1.00,2
0.0,6.2,0.0,0.0,0.0,93.8,0.0,0.0,1.00,2
0.0,0.0,0.0,0.0,6.2,93.8,0.0,0.0,1.00,2
12.5,0.0,0.0,0.0,0.0,87.5,0.0,0.0,1.00,2
6.2,6.2,0.0,0.0,0.0,87.5,0.0,0.0,1.00,2
6.2,0.0,0.0,0.0,6.2,87.5,0.0,0.0,1.00,2
0.0,12.5,0.0,0.0,0.0,87.5,0.0,0.0,1.00,2
0.0,6.2,0.0,0.0,6.2,87.5,0.0,0.0,1.00,2
0.0,0.0,0.0,0.0,12.5,87.5,0.0,0.0,1.00,2
6.2,0.0,0.0,0.0,12.5,81.2,0.0,0.0,1.00,2
0.0,6.2,0.0,0.0,12.5,81.2,0.0,0.0,1.00,2
0.0,0.0,0.0,0.0,18.8,81.2,0.0,0.0,1.00,2
0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,1.00,2
0.0,0.0,0.0,0.0,31.2,68.8,0.0,0.0,1.00,2
0.0,75.0,0.0,0.0,0.0,25.0,0.0,0.0,0.94,3
