# Ag_i,Au_i,Cu_i,Ir_i,Pd_i,Pt_i,Rh_i,Ru_i,Ag_f,Au_f,Cu_f,Ir_f,Pd_f,Pt_f,Rh_f,Ru_f,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d,Sd
0.1302,0.1406,0.1432,0.1068,0.1068,0.1250,0.1042,0.1432,0.2135,0.1798,0.0000,0.1685,0.1348,0.2360,0.0674,0.0000,0.1095,0.0000,0.2254,0.1440,0.0736,0.0563,0.1768,0.2144,0.2318
0.1276,0.1172,0.1172,0.1068,0.1302,0.1250,0.1302,0.1458,0.1638,0.1983,0.0000,0.1983,0.2069,0.1896,0.0431,0.0000,0.0959,0.0000,0.1918,0.1244,0.0959,0.0604,0.2096,0.2220,0.3021
0.1250,0.1250,0.1276,0.1302,0.1484,0.1198,0.1198,0.1042,0.2021,0.1809,0.0000,0.2021,0.1702,0.1702,0.0745,0.0000,0.1339,0.0000,0.2203,0.1508,0.0797,0.0678,0.1492,0.1983,0.2448
0.1172,0.1224,0.1406,0.1250,0.1302,0.1406,0.1094,0.1146,0.1856,0.1856,0.0000,0.1546,0.1753,0.2783,0.0206,0.0000,0.0644,0.0000,0.2376,0.1510,0.0792,0.0497,0.1897,0.2284,0.2526
0.1328,0.1198,0.1172,0.1458,0.1120,0.1510,0.1224,0.0990,0.2121,0.1212,0.0000,0.2020,0.1414,0.2829,0.0404,0.0000,0.1128,0.0000,0.1992,0.1485,0.0846,0.0620,0.1899,0.2030,0.2578
0.1224,0.1302,0.1406,0.1146,0.1068,0.0990,0.1484,0.1380,0.1981,0.1698,0.0000,0.1321,0.1887,0.2358,0.0755,0.0000,0.1000,0.0000,0.2071,0.1400,0.0914,0.0600,0.2086,0.1929,0.2760
0.1328,0.1016,0.1328,0.0781,0.1511,0.1224,0.1406,0.1406,0.1954,0.2414,0.0000,0.1954,0.1609,0.1609,0.0460,0.0000,0.1083,0.0000,0.2261,0.1035,0.1067,0.0621,0.1799,0.2134,0.2266
0.1198,0.1276,0.1562,0.1146,0.1250,0.0990,0.1198,0.1380,0.2315,0.1296,0.0000,0.1852,0.2500,0.1759,0.0278,0.0000,0.0895,0.0000,0.2247,0.1503,0.0794,0.0439,0.2044,0.2078,0.2812
0.1484,0.1198,0.1198,0.1198,0.1250,0.1432,0.1120,0.1120,0.1704,0.2045,0.0000,0.2159,0.2614,0.1364,0.0114,0.0000,0.1121,0.0000,0.2187,0.1397,0.0864,0.0368,0.2059,0.2004,0.2292
0.0755,0.1276,0.1094,0.1484,0.1198,0.1615,0.1380,0.1198,0.0919,0.2644,0.0000,0.1954,0.1724,0.2529,0.0230,0.0000,0.1000,0.0000,0.2102,0.1796,0.0898,0.0441,0.1763,0.2000,0.2266
