# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1328,0.1198,0.1172,0.1458,0.1120,0.1510,0.1224,0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1847,0.1146,0.0382,0.1975,0.1656,0.1911,0.0828,0.0255,0.0000,0.0000,0.3386,0.0423,0.0053,0.0000,0.2381,0.3757
0.1757,0.1014,0.0135,0.1824,0.1959,0.2027,0.0946,0.0338,0.0287,0.0000,0.2652,0.1254,0.0323,0.0072,0.2652,0.2760
0.1409,0.1342,0.0269,0.1946,0.2014,0.1946,0.0738,0.0336,0.0470,0.0000,0.2323,0.1412,0.0559,0.0265,0.2412,0.2559
0.1539,0.1538,0.0140,0.2028,0.1748,0.2098,0.0559,0.0350,0.0723,0.0000,0.2171,0.1395,0.0724,0.0362,0.2222,0.2403
0.1717,0.1493,0.0224,0.1716,0.1716,0.2388,0.0522,0.0224,0.0875,0.0000,0.2057,0.1466,0.0733,0.0425,0.2104,0.2340
0.1732,0.1417,0.0158,0.1811,0.1732,0.2599,0.0551,0.0000,0.1009,0.0000,0.1996,0.1469,0.0767,0.0504,0.1996,0.2259
0.1765,0.1428,0.0252,0.1933,0.1597,0.2605,0.0336,0.0084,0.1111,0.0000,0.1950,0.1467,0.0734,0.0545,0.1992,0.2201
0.2035,0.1328,0.0354,0.1770,0.1504,0.2655,0.0354,0.0000,0.1100,0.0000,0.1955,0.1527,0.0713,0.0570,0.1976,0.2159
0.2091,0.1273,0.0182,0.1818,0.1454,0.2636,0.0455,0.0091,0.1094,0.0000,0.1988,0.1531,0.0756,0.0596,0.1928,0.2107
0.1963,0.1495,0.0094,0.1869,0.1495,0.2523,0.0467,0.0094,0.1094,0.0000,0.1992,0.1523,0.0801,0.0605,0.1895,0.2090
0.2056,0.1308,0.0187,0.1869,0.1402,0.2617,0.0561,0.0000,0.1111,0.0000,0.1973,0.1495,0.0862,0.0632,0.1858,0.2069
0.2059,0.1176,0.0098,0.2059,0.1373,0.2745,0.0490,0.0000,0.1117,0.0000,0.1989,0.1477,0.0852,0.0625,0.1894,0.2046
0.2200,0.1200,0.0000,0.2000,0.1300,0.2900,0.0400,0.0000,0.1113,0.0000,0.2000,0.1472,0.0849,0.0622,0.1906,0.2038
0.2121,0.1212,0.0000,0.2020,0.1414,0.2829,0.0404,0.0000,0.1128,0.0000,0.1992,0.1485,0.0846,0.0620,0.1899,0.2030
